"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group"
"position_type","Supervisor","s_job_recat",88.7755102040816,98,87,0.31729049622439,3.20511802123301,82.4934788824649,95.0575415256983,"job"
"agency_type","County Health Department","s_job_recat",91.9239904988123,421,387,0.272790503821576,1.3294995663026,89.3181713488593,94.5298096487654,"job"
"agency_type","Tribal Health Department","s_job_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,100,"job"
"leave_retire","leaving not retiring","s_job_recat",70.2702702702703,74,52,0.460188458409019,5.34958216672067,59.7850892234978,80.7554513170428,"job"
"leave_retire","not leaving or retiring","s_job_recat",97.7848101265823,316,309,0.147410846975069,0.829250801984538,96.1594785546926,99.410141698472,"job"
"job_satisfied","not satisfied with job","s_job_recat",0,35,0,0,0,0,0,"job"
"job_satisfied","satisfied with job","s_job_recat",100,413,413,0,0,100,100,"job"
"statewide","statewide_results","s_job_recat",92.1875,448,413,0.268668208510017,1.26933797304777,89.6995975728264,94.6754024271736,"job"
"jd_size","Frontier","f_paid_fairly_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"pay & benefits"
"jd_size","Large","f_paid_fairly_recat",61.1570247933884,242,148,0.488403289355273,3.13957525324481,55.0034572970286,67.3105922897483,"pay & benefits"
"jd_size","Medium","f_paid_fairly_recat",73.3333333333333,75,55,0.445194562183994,5.14066400637373,63.2576318808408,83.4090347858258,"pay & benefits"
"jd_size","Small","f_paid_fairly_recat",75.9615384615385,104,79,0.429386383306204,4.21047989874878,67.7089978599908,84.2140790630861,"pay & benefits"
"position_type","Executive","f_paid_fairly_recat",60.8695652173913,23,14,0.499010879347845,10.4050961115322,40.4755768387883,81.2635535959943,"pay & benefits"
"position_type","Non-supervisor","f_paid_fairly_recat",66.6666666666667,327,218,0.472126980250623,2.61086816662652,61.5493650600787,71.7839682732546,"pay & benefits"
"position_type","Supervisor","f_paid_fairly_recat",74.4897959183673,98,73,0.438159799729374,4.42608236617114,65.8146744806719,83.1649173560628,"pay & benefits"
"agency_type","County Health Department","f_paid_fairly_recat",67.9334916864608,421,286,0.467287547286827,2.27742015485549,63.4697481829441,72.3972351899776,"pay & benefits"
"agency_type","Tribal Health Department","f_paid_fairly_recat",70.3703703703704,27,19,0.465321626968075,8.95511888632576,52.8183373531719,87.9224033875689,"pay & benefits"
"leave_retire","leaving not retiring","f_paid_fairly_recat",52.7027027027027,74,39,0.502677024579755,5.84350171581653,41.2494393397023,64.1559660657031,"pay & benefits"
"leave_retire","not leaving or retiring","f_paid_fairly_recat",69.620253164557,316,220,0.460625671933691,2.59122185174258,64.5414583351415,74.6990479939724,"pay & benefits"
"job_satisfied","not satisfied with job","f_paid_fairly_recat",34.2857142857143,35,12,0.481593991977935,8.14042422743686,18.330482799938,50.2409457714905,"pay & benefits"
"job_satisfied","satisfied with job","f_paid_fairly_recat",70.9443099273608,413,293,0.454570030259133,2.23679288965915,66.5601958636288,75.3284239910927,"pay & benefits"
"statewide","statewide_results","f_paid_fairly_recat",68.0803571428571,448,305,0.466686426669266,2.20488611645761,63.7587803546002,72.401933931114,"pay & benefits"
"jd_size","Frontier","s_benefits_recat",88.8888888888889,27,24,0.320256307610174,6.16333551361366,76.8087512822061,100,"pay & benefits"
"jd_size","Large","s_benefits_recat",85.9504132231405,242,208,0.348220970622382,2.23844917889498,81.5630528325063,90.3377736137747,"pay & benefits"
"jd_size","Medium","s_benefits_recat",88,75,66,0.327149854083762,3.77760112641214,80.5959017922322,95.4040982077678,"pay & benefits"
"jd_size","Small","s_benefits_recat",86.5384615384615,104,90,0.342965148890159,3.36304997437149,79.9468835886934,93.1300394882297,"pay & benefits"
"position_type","Executive","s_benefits_recat",82.6086956521739,23,19,0.38755338788159,8.08104675899639,66.769844004541,98.4475472998068,"pay & benefits"
"position_type","Non-supervisor","s_benefits_recat",86.8501529051988,327,284,0.338462627406674,1.87170260640425,83.1816157966464,90.5186900137511,"pay & benefits"
"position_type","Supervisor","s_benefits_recat",86.734693877551,98,85,0.340943357814689,3.44404800444683,79.9843597888352,93.4850279662668,"pay & benefits"
"agency_type","County Health Department","s_benefits_recat",86.6983372921615,421,365,0.339996739772921,1.65704271864262,83.450533563622,89.9461410207011,"pay & benefits"
"agency_type","Tribal Health Department","s_benefits_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"pay & benefits"
"leave_retire","leaving not retiring","s_benefits_recat",72.972972972973,74,54,0.447130801165175,5.19778998450837,62.7853046033366,83.1606413426094,"pay & benefits"
"leave_retire","not leaving or retiring","s_benefits_recat",89.2405063291139,316,282,0.310359607868846,1.74590919874692,85.81852429957,92.6624883586579,"pay & benefits"
"job_satisfied","not satisfied with job","s_benefits_recat",65.7142857142857,35,23,0.481593991977935,8.14042422743686,49.7590542285095,81.669517200062,"pay & benefits"
"job_satisfied","satisfied with job","s_benefits_recat",88.3777239709443,413,365,0.320880567512159,1.57895004963665,85.2829818736565,91.4724660682322,"pay & benefits"
"statewide","statewide_results","s_benefits_recat",86.6071428571429,448,388,0.340956299935877,1.6108671028055,83.4498433356441,89.7644423786416,"pay & benefits"
"jd_size","Frontier","s_pay_recat",92.5925925925926,27,25,0.266880256341812,5.13611292801138,82.5258112536903,100,"pay & benefits"
"jd_size","Large","s_pay_recat",58.6776859504132,242,142,0.49343274649431,3.17190582823299,52.4607505270766,64.8946213737499,"pay & benefits"
"jd_size","Medium","s_pay_recat",77.3333333333333,75,58,0.421494552346359,4.86699986518262,67.7940135975754,86.8726530690913,"pay & benefits"
"jd_size","Small","s_pay_recat",75,104,78,0.435109627966923,4.26660092991431,66.637462177368,83.362537822632,"pay & benefits"
"position_type","Executive","s_pay_recat",60.8695652173913,23,14,0.499010879347845,10.4050961115322,40.4755768387883,81.2635535959943,"pay & benefits"
"position_type","Non-supervisor","s_pay_recat",65.4434250764526,327,214,0.476281192194286,2.63384101116799,60.2810966945633,70.6057534583419,"pay & benefits"
"position_type","Supervisor","s_pay_recat",76.530612244898,98,75,0.42598631235363,4.30311157368432,68.0965135604767,84.9647109293192,"pay & benefits"
"agency_type","County Health Department","s_pay_recat",66.9833729216152,421,282,0.470832313596144,2.29469628875627,62.4857681956529,71.4809776475775,"pay & benefits"
"agency_type","Tribal Health Department","s_pay_recat",77.7777777777778,27,21,0.423659272868162,8.15332650783714,61.797257822417,93.7582977331386,"pay & benefits"
"leave_retire","leaving not retiring","s_pay_recat",45.945945945946,74,34,0.501755526051275,5.83278951301236,34.5136785004417,57.3782133914502,"pay & benefits"
"leave_retire","not leaving or retiring","s_pay_recat",70.8860759493671,316,224,0.455008075537677,2.55962040305538,65.8692199593786,75.9029319393556,"pay & benefits"
"job_satisfied","not satisfied with job","s_pay_recat",31.4285714285714,35,11,0.471008215953606,7.96149195450555,15.8240471977405,47.0330956594023,"pay & benefits"
"job_satisfied","satisfied with job","s_pay_recat",70.7021791767555,413,292,0.455680534501932,2.24225732380325,66.3073548221011,75.0970035314098,"pay & benefits"
"statewide","statewide_results","s_pay_recat",67.6339285714286,448,303,0.468395319634406,2.21295987682008,63.2965272128612,71.9713299299959,"pay & benefits"
"jd_size","Frontier","f_manage_demands_recat",88.8888888888889,27,24,0.320256307610174,6.16333551361366,76.8087512822061,100,"balance"
"jd_size","Large","f_manage_demands_recat",82.2314049586777,242,199,0.38304038189026,2.46227683184444,77.4053423682626,87.0574675490928,"balance"
"jd_size","Medium","f_manage_demands_recat",86.6666666666667,75,65,0.342223782220227,3.95165985575879,78.9214133493794,94.4119199839539,"balance"
"jd_size","Small","f_manage_demands_recat",92.3076923076923,104,96,0.267759771056568,2.62560057225496,87.1615151860726,97.453869429312,"balance"
"position_type","Executive","f_manage_demands_recat",78.2608695652174,23,18,0.42174116783665,8.79391124952055,61.0248035161571,95.4969356142777,"balance"
"position_type","Non-supervisor","f_manage_demands_recat",88.6850152905199,327,290,0.317261362216545,1.75445934200167,85.2462749801966,92.1237556008432,"balance"
"position_type","Supervisor","f_manage_demands_recat",77.5510204081633,98,76,0.4193911208716,4.23649007911051,69.2474998531067,85.8545409632199,"balance"
"agency_type","County Health Department","f_manage_demands_recat",85.5106888361045,421,360,0.352411826831241,1.71755015064048,82.1442905408492,88.8770871313599,"balance"
"agency_type","Tribal Health Department","f_manage_demands_recat",88.8888888888889,27,24,0.320256307610174,6.16333551361366,76.8087512822061,100,"balance"
"leave_retire","leaving not retiring","f_manage_demands_recat",74.3243243243243,74,55,0.439825955951969,5.11287288376595,64.3030934721431,84.3455551765056,"balance"
"leave_retire","not leaving or retiring","f_manage_demands_recat",87.9746835443038,316,278,0.325773218163331,1.83261753100649,84.3827531835311,91.5666139050765,"balance"
"job_satisfied","not satisfied with job","f_manage_demands_recat",48.5714285714286,35,17,0.50709255283711,8.57142857142857,31.7714285714286,65.3714285714286,"balance"
"job_satisfied","satisfied with job","f_manage_demands_recat",88.861985472155,413,367,0.314983869664023,1.54993429641672,85.8241142511782,91.8998566931317,"balance"
"statewide","statewide_results","f_manage_demands_recat",85.7142857142857,448,384,0.350318304787551,1.65509841818141,82.4702928146502,88.9582786139213,"balance"
"jd_size","Frontier","f_work_life_balance_recat",77.7777777777778,27,21,0.423659272868162,8.15332650783714,61.797257822417,93.7582977331386,"balance"
"jd_size","Large","f_work_life_balance_recat",83.4710743801653,242,202,0.372211233428991,2.39266442901317,78.7814520992995,88.1606966610311,"balance"
"jd_size","Medium","f_work_life_balance_recat",82.6666666666667,75,62,0.381084275751736,4.40038218378397,74.0419175864501,91.2914157468832,"balance"
"jd_size","Small","f_work_life_balance_recat",91.3461538461538,104,95,0.282519074811882,2.77032745274609,85.9163120387715,96.7759956535362,"balance"
"position_type","Executive","f_work_life_balance_recat",69.5652173913043,23,16,0.470471968896965,9.81001869248289,50.3375807540379,88.7928540285708,"balance"
"position_type","Non-supervisor","f_work_life_balance_recat",88.0733944954129,327,288,0.324598023484957,1.79503117152272,84.5551333992283,91.5916555915974,"balance"
"position_type","Supervisor","f_work_life_balance_recat",77.5510204081633,98,76,0.4193911208716,4.23649007911051,69.2474998531067,85.8545409632199,"balance"
"agency_type","County Health Department","f_work_life_balance_recat",84.7980997624703,421,357,0.35946648246951,1.75193243844045,81.364312183127,88.2318873418136,"balance"
"agency_type","Tribal Health Department","f_work_life_balance_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"balance"
"leave_retire","leaving not retiring","f_work_life_balance_recat",72.972972972973,74,54,0.447130801165175,5.19778998450837,62.7853046033366,83.1606413426094,"balance"
"leave_retire","not leaving or retiring","f_work_life_balance_recat",87.3417721518987,316,276,0.333031810582043,1.87345030354672,83.6698095569472,91.0137347468503,"balance"
"job_satisfied","not satisfied with job","f_work_life_balance_recat",45.7142857142857,35,16,0.505432670960188,8.54337144681602,28.9692776785263,62.4592937500451,"balance"
"job_satisfied","satisfied with job","f_work_life_balance_recat",88.135593220339,413,364,0.323761421352558,1.59312580465217,85.0130666432207,91.2581197974572,"balance"
"statewide","statewide_results","f_work_life_balance_recat",84.8214285714286,448,380,0.359214191549658,1.69712753258128,81.4950586075693,88.1477985352879,"balance"
"jd_size","Frontier","s_able_complete_40hr_recat",88.8888888888889,27,24,0.320256307610174,6.16333551361366,76.8087512822061,100,"balance"
"jd_size","Large","s_able_complete_40hr_recat",77.6859504132231,242,188,0.417214698519041,2.68195765939559,72.4293134008078,82.9425874256385,"balance"
"jd_size","Medium","s_able_complete_40hr_recat",86.6666666666667,75,65,0.342223782220227,3.95165985575879,78.9214133493794,94.4119199839539,"balance"
"jd_size","Small","s_able_complete_40hr_recat",88.4615384615385,104,92,0.321032687677022,3.14798449801206,82.2914888454348,94.6315880776421,"balance"
"position_type","Executive","s_able_complete_40hr_recat",60.8695652173913,23,14,0.499010879347845,10.4050961115322,40.4755768387883,81.2635535959943,"balance"
"position_type","Non-supervisor","s_able_complete_40hr_recat",88.9908256880734,327,291,0.313483775412624,1.73356923924205,85.593029979159,92.3886213969878,"balance"
"position_type","Supervisor","s_able_complete_40hr_recat",65.3061224489796,98,64,0.478443369761342,4.83300787388554,55.8334270161639,74.7788178817952,"balance"
"agency_type","County Health Department","s_able_complete_40hr_recat",82.6603325415677,421,348,0.379040275392824,1.84732926801434,79.0395671762596,86.2810979068758,"balance"
"agency_type","Tribal Health Department","s_able_complete_40hr_recat",77.7777777777778,27,21,0.423659272868162,8.15332650783714,61.797257822417,93.7582977331386,"balance"
"leave_retire","leaving not retiring","s_able_complete_40hr_recat",71.6216216216216,74,53,0.453910565998648,5.27660314982134,61.2794794479718,81.9637637952714,"balance"
"leave_retire","not leaving or retiring","s_able_complete_40hr_recat",84.8101265822785,316,268,0.359491972930644,2.02230034612147,80.8464179038804,88.7738352606766,"balance"
"job_satisfied","not satisfied with job","s_able_complete_40hr_recat",48.5714285714286,35,17,0.50709255283711,8.57142857142857,31.7714285714286,65.3714285714286,"balance"
"job_satisfied","satisfied with job","s_able_complete_40hr_recat",85.2300242130751,413,352,0.355232437135385,1.74798454950442,81.8039744960464,88.6560739301037,"balance"
"statewide","statewide_results","s_able_complete_40hr_recat",82.3660714285714,448,369,0.381534627654833,1.80258168095414,78.8330113339013,85.8991315232415,"balance"
"jd_size","Frontier","s_agency_mh_policy_support_recat",70.3703703703704,27,19,0.465321626968075,8.95511888632576,52.8183373531719,87.9224033875689,"org & team"
"jd_size","Large","s_agency_mh_policy_support_recat",78.9256198347107,242,191,0.408682053957574,2.62710774275134,73.7764886589181,84.0747510105034,"org & team"
"jd_size","Medium","s_agency_mh_policy_support_recat",80,75,60,0.402693633128415,4.64990554975277,70.8861851224846,89.1138148775154,"org & team"
"jd_size","Small","s_agency_mh_policy_support_recat",81.7307692307692,104,85,0.388285328900389,3.80745090174014,74.2681654633585,89.1933729981799,"org & team"
"position_type","Executive","s_agency_mh_policy_support_recat",78.2608695652174,23,18,0.42174116783665,8.79391124952055,61.0248035161571,95.4969356142777,"org & team"
"position_type","Non-supervisor","s_agency_mh_policy_support_recat",81.0397553516819,327,265,0.392587172602667,2.17101202526089,76.7845717821706,85.2949389211933,"org & team"
"position_type","Supervisor","s_agency_mh_policy_support_recat",73.469387755102,98,72,0.443765992205822,4.48271346212448,64.6832693693381,82.255506140866,"org & team"
"agency_type","County Health Department","s_agency_mh_policy_support_recat",80.2850356294537,421,338,0.398319623909668,1.94129106335787,76.4801051452722,84.0899661136351,"org & team"
"agency_type","Tribal Health Department","s_agency_mh_policy_support_recat",62.962962962963,27,17,0.492102877623411,9.47052429549553,44.4007353437917,81.5251905821342,"org & team"
"leave_retire","leaving not retiring","s_agency_mh_policy_support_recat",62.1621621621622,74,46,0.488293160952466,5.67629269754799,51.0366284749681,73.2876958493562,"org & team"
"leave_retire","not leaving or retiring","s_agency_mh_policy_support_recat",83.5443037974684,316,264,0.371368289261262,2.08910984517721,79.449648500921,87.6389590940157,"org & team"
"job_satisfied","not satisfied with job","s_agency_mh_policy_support_recat",42.8571428571429,35,15,0.502096445253434,8.48697893980006,26.2226641351347,59.491621579151,"org & team"
"job_satisfied","satisfied with job","s_agency_mh_policy_support_recat",82.3244552058111,413,340,0.38192426783305,1.87932646195406,78.6409753403812,86.0079350712411,"org & team"
"statewide","statewide_results","s_agency_mh_policy_support_recat",79.2410714285714,448,355,0.406034449416715,1.91833245871726,75.4811398094856,83.0010030476572,"org & team"
"jd_size","Frontier","s_comfort_using_PTO_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"org & team"
"jd_size","Large","s_comfort_using_PTO_recat",90.9090909090909,242,220,0.288075600957839,1.85182009937889,87.2795235143083,94.5386583038735,"org & team"
"jd_size","Medium","s_comfort_using_PTO_recat",93.3333333333333,75,70,0.251123601166961,2.89972557467227,87.6498712069757,99.016795459691,"org & team"
"jd_size","Small","s_comfort_using_PTO_recat",90.3846153846154,104,94,0.296229731410389,2.90477150186139,84.6912632409671,96.0779675282637,"org & team"
"position_type","Executive","s_comfort_using_PTO_recat",86.9565217391304,23,20,0.344350221575091,7.1801984682154,72.8833327414282,100,"org & team"
"position_type","Non-supervisor","s_comfort_using_PTO_recat",92.9663608562691,327,304,0.256104985883329,1.41626380810131,90.1904837923906,95.7422379201477,"org & team"
"position_type","Supervisor","s_comfort_using_PTO_recat",84.6938775510204,98,83,0.361897656442662,3.65571838523037,77.5286695159689,91.8590855860719,"org & team"
"agency_type","County Health Department","s_comfort_using_PTO_recat",91.2114014251782,421,384,0.283465873176145,1.38152813301657,88.5036062844657,93.9191965658906,"org & team"
"agency_type","Tribal Health Department","s_comfort_using_PTO_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"org & team"
"leave_retire","leaving not retiring","s_comfort_using_PTO_recat",83.7837837837838,74,62,0.371115572111646,4.31413089590404,75.3280872278119,92.2394803397557,"org & team"
"leave_retire","not leaving or retiring","s_comfort_using_PTO_recat",92.4050632911392,316,292,0.265337252841794,1.49263866418626,89.4794915093342,95.3306350729443,"org & team"
"job_satisfied","not satisfied with job","s_comfort_using_PTO_recat",62.8571428571429,35,22,0.490240894309911,8.28658355335869,46.6154390925598,79.0988466217259,"org & team"
"job_satisfied","satisfied with job","s_comfort_using_PTO_recat",93.2203389830508,413,385,0.251701466891004,1.23854194949374,90.7927967620431,95.6478812040586,"org & team"
"statewide","statewide_results","s_comfort_using_PTO_recat",90.8482142857143,448,407,0.288666485282154,1.36382094981369,88.1751252240795,93.5213033473491,"org & team"
"jd_size","Frontier","s_org_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"org & team"
"jd_size","Large","s_org_recat",85.5371900826446,242,207,0.352454443828979,2.26566297537095,81.0964906509176,89.9778895143717,"org & team"
"jd_size","Medium","s_org_recat",94.6666666666667,75,71,0.226210457696304,2.61205337288939,89.5470420558035,99.7862912775299,"org & team"
"jd_size","Small","s_org_recat",93.2692307692308,104,97,0.251767463868118,2.46878309836788,88.4304158964297,98.1080456420318,"org & team"
"position_type","Executive","s_org_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,100,"org & team"
"position_type","Non-supervisor","s_org_recat",91.4373088685015,327,299,0.280241167410494,1.54973719693357,88.3998239625117,94.4747937744913,"org & team"
"position_type","Supervisor","s_org_recat",78.5714285714286,98,77,0.412435561977268,4.16622832395159,70.4056210564835,86.7372360863737,"org & team"
"agency_type","County Health Department","s_org_recat",89.3111638954869,421,376,0.309338863942384,1.50762537438229,86.3562181616976,92.2661096292762,"org & team"
"agency_type","Tribal Health Department","s_org_recat",81.4814814814815,27,22,0.39584739066357,7.6180865852541,66.5500317743835,96.4129311885795,"org & team"
"leave_retire","leaving not retiring","s_org_recat",72.972972972973,74,54,0.447130801165175,5.19778998450837,62.7853046033366,83.1606413426094,"org & team"
"leave_retire","not leaving or retiring","s_org_recat",93.3544303797468,316,295,0.2494720163061,1.40338973582807,90.6037864975238,96.1050742619698,"org & team"
"job_satisfied","not satisfied with job","s_org_recat",51.4285714285714,35,18,0.50709255283711,8.57142857142857,34.6285714285714,68.2285714285714,"org & team"
"job_satisfied","satisfied with job","s_org_recat",92.0096852300242,413,380,0.271472057448837,1.33582666568789,89.3914649652759,94.6279054947725,"org & team"
"statewide","statewide_results","s_org_recat",88.8392857142857,448,398,0.315234520337478,1.48934311692089,85.9201732051207,91.7583982234507,"org & team"
"jd_size","Frontier","s_work_unit_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,100,"org & team"
"jd_size","Large","s_work_unit_recat",90.9090909090909,242,220,0.288075600957839,1.85182009937889,87.2795235143083,94.5386583038735,"org & team"
"jd_size","Medium","s_work_unit_recat",97.3333333333333,75,73,0.162192189412149,1.87283408435118,93.662578528005,100,"org & team"
"jd_size","Small","s_work_unit_recat",95.1923076923077,104,99,0.214964783401984,2.1079031255807,91.0608175661695,99.3237978184459,"org & team"
"position_type","Executive","s_work_unit_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,100,"org & team"
"position_type","Non-supervisor","s_work_unit_recat",92.9663608562691,327,304,0.256104985883329,1.41626380810131,90.1904837923906,95.7422379201477,"org & team"
"position_type","Supervisor","s_work_unit_recat",93.8775510204082,98,92,0.240974248126322,2.4342074991636,89.1065043220475,98.6485977187688,"org & team"
"agency_type","County Health Department","s_work_unit_recat",93.8242280285036,421,395,0.241001379601914,1.17456885474519,91.522073073203,96.1263829838041,"org & team"
"agency_type","Tribal Health Department","s_work_unit_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"org & team"
"leave_retire","leaving not retiring","s_work_unit_recat",78.3783783783784,74,58,0.414473432903422,4.81815578970676,68.9347930305531,87.8219637262036,"org & team"
"leave_retire","not leaving or retiring","s_work_unit_recat",97.4683544303797,316,308,0.15733361939472,0.885070757949495,95.7336157447987,99.2030931159608,"org & team"
"job_satisfied","not satisfied with job","s_work_unit_recat",62.8571428571429,35,22,0.490240894309911,8.28658355335869,46.6154390925598,79.0988466217259,"org & team"
"job_satisfied","satisfied with job","s_work_unit_recat",95.8837772397094,413,396,0.198906245482924,0.978753648478267,93.965420088692,97.8021343907268,"org & team"
"statewide","statewide_results","s_work_unit_recat",93.3035714285714,448,418,0.250239578397097,1.18227087968637,90.9863205043861,95.6208223527567,"org & team"
"jd_size","Frontier","f_happy_input_recat",77.7777777777778,27,21,0.423659272868162,8.15332650783714,61.797257822417,93.7582977331386,"voice"
"jd_size","Large","f_happy_input_recat",69.8347107438017,242,169,0.459926653195267,2.95652050293461,64.0399305580498,75.6294909295535,"voice"
"jd_size","Medium","f_happy_input_recat",90.6666666666667,75,68,0.292857927612974,3.38163206683333,84.0386678156733,97.29466551766,"voice"
"jd_size","Small","f_happy_input_recat",92.3076923076923,104,96,0.267759771056568,2.62560057225496,87.1615151860726,97.453869429312,"voice"
"position_type","Executive","f_happy_input_recat",91.304347826087,23,21,0.28810406552003,6.00738504093702,79.5298731458504,100,"voice"
"position_type","Non-supervisor","f_happy_input_recat",77.0642201834862,327,252,0.421064110421094,2.32848985123404,72.5003800750675,81.628060291905,"voice"
"position_type","Supervisor","f_happy_input_recat",82.6530612244898,98,81,0.380599370068486,3.8446342212965,75.1175781507487,90.1885442982309,"voice"
"agency_type","County Health Department","f_happy_input_recat",78.8598574821853,421,332,0.408788200950149,1.99231178600087,74.9549263816236,82.764788582747,"voice"
"agency_type","Tribal Health Department","f_happy_input_recat",81.4814814814815,27,22,0.39584739066357,7.6180865852541,66.5500317743835,96.4129311885795,"voice"
"leave_retire","leaving not retiring","f_happy_input_recat",58.1081081081081,74,43,0.496749895912648,5.77460024460833,46.7898916286758,69.4263245875404,"voice"
"leave_retire","not leaving or retiring","f_happy_input_recat",83.5443037974684,316,264,0.371368289261262,2.08910984517721,79.449648500921,87.6389590940157,"voice"
"job_satisfied","not satisfied with job","f_happy_input_recat",31.4285714285714,35,11,0.471008215953606,7.96149195450555,15.8240471977405,47.0330956594023,"voice"
"job_satisfied","satisfied with job","f_happy_input_recat",83.0508474576271,413,343,0.37564053134244,1.84840621607978,79.4279712741107,86.6737236411435,"voice"
"statewide","statewide_results","f_happy_input_recat",79.0178571428571,448,354,0.407636242069463,1.92590021766558,75.2430927162326,82.7926215694817,"voice"
"jd_size","Frontier","f_voice_concerns_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"voice"
"jd_size","Large","f_voice_concerns_recat",84.7107438016529,242,205,0.360629781121281,2.31821603389708,80.1670403752146,89.2544472280912,"voice"
"jd_size","Medium","f_voice_concerns_recat",86.6666666666667,75,65,0.342223782220227,3.95165985575879,78.9214133493794,94.4119199839539,"voice"
"jd_size","Small","f_voice_concerns_recat",88.4615384615385,104,92,0.321032687677022,3.14798449801206,82.2914888454348,94.6315880776421,"voice"
"position_type","Executive","f_voice_concerns_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,100,"voice"
"position_type","Non-supervisor","f_voice_concerns_recat",85.3211009174312,327,279,0.354437809580216,1.96004556568783,81.4794116086831,89.1627902261793,"voice"
"position_type","Supervisor","f_voice_concerns_recat",85.7142857142857,98,84,0.351726229056329,3.55297145267005,78.7504616670524,92.678109761519,"voice"
"agency_type","County Health Department","f_voice_concerns_recat",86.9358669833729,421,366,0.337408636102163,1.64442907315418,83.7127859999907,90.1589479667551,"voice"
"agency_type","Tribal Health Department","f_voice_concerns_recat",70.3703703703704,27,19,0.465321626968075,8.95511888632576,52.8183373531719,87.9224033875689,"voice"
"leave_retire","leaving not retiring","f_voice_concerns_recat",71.6216216216216,74,53,0.453910565998648,5.27660314982134,61.2794794479718,81.9637637952714,"voice"
"leave_retire","not leaving or retiring","f_voice_concerns_recat",90.5063291139241,316,286,0.29359241120646,1.65158634826043,87.2692198713336,93.7434383565145,"voice"
