respondent_id,lhj_code,region,size,agency,supervisor_status,,pref_formats,pref_notify,pref_barriers,barriers_others,pref_location,other_topics,fam_train,prof_dev_train,pref_train_participated,pref_train_recat,pref_train_other
_022,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components),Toolkit / Resource Manual","Email,Organization / Agency Websites","Unaware of training events,Location,Logistics of travel,Costs",NA,"Great Falls,Helena,Kalispell ,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,2024 Indigenous-Led Public Health Summit (Pablo),2024 Indigenous-Led Public Health Summit (Pablo),NA
_023,CYQ,Region 5,Small,Tribal Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components),Toolkit / Resource Manual",Email,Unaware of training events,NA,"Butte,Great Falls,Kalispell ,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2024 (Missoula),Confluence 2025 (Helena)","Confluence,Confluence",NA
_024,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (self-paced workshops),Retreats (1 or 2-day sessions)",Email,Costs,NA,"Helena,Missoula",NA,I have heard of it but not created an account.,Yes,"Montana Public Health 101,Other (please specify)","Montana Public Health 101,Other (please specify)","CLC Training Course, Great Families Great Beginnings Conference, National WIC Association Conference"
_025,CYQ,Region 5,Small,Tribal Health Department,Supervisor,,"In-person, hands on workshops,Online learning (live workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components),Job shadowing",Email,"Family Responsibilities,Topics that do not interest me",NA,Missoula,NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,2024 Indigenous-Led Public Health Summit (Pablo),2024 Indigenous-Led Public Health Summit (Pablo),NA
_026,JIK,Region 1,Frontier,County Health Department,Supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Toolkit / Resource Manual",Email,"Location,Time of the year,Family Responsibilities",NA,"Glasgow,Glendive,Miles City ,Sidney",NA,I have created an account.,No,NA,NA,NA
_027,CYQ,Region 5,Small,Tribal Health Department,Executive,,"In-person, hands on workshops,Group meetings,Retreats (1 or 2-day sessions),Multi-session series of trainings",Email,"Unaware of training events,Location,Family Responsibilities",NA,"Kalispell ,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2024 (Missoula),2024 MPHA Public Health Nurse Mentorship Program","Confluence,2024 MPHA Public Health Nurse Mentorship Program",NA
_028,QGZ,Region 1,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (self-paced workshops)","Email,Digital Newsletter","Location,Logistics of travel,Topics that do not interest me,Costs",NA,"Billings,Glasgow,Glendive,Miles City ,Sidney",NA,I have created an account and taken some of the available trainings.,Yes,"2024 MT Public Health Summer Institute (Helena),Confluence 2023 (Billings),Confluence 2025 (Helena),Other (please specify)","Summer Institute,Confluence,Confluence,Other (please specify)","great beginnings, great families and many weekly DIS trainings"
_029,PQS,Region 4,Large,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)",Email,Costs,NA,Helena,NA,I have created an account and taken some of the available trainings.,Yes,Other (please specify),Other (please specify),Great Beginnings Great Families and The PAT National Conference
_030,PQS,Region 4,Large,County Health Department,Supervisor,,"In-person, hands on workshops,Online learning (live workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Meeting one on one with a mentor,Blended (combination of online and in-person components),Job shadowing","Email,Connected Community","Location,Logistics of travel,Topics that do not interest me,Costs",NA,"Bozeman,Butte,Great Falls,Helena",NA,I have created an account and taken some of the available trainings.,Yes,"2024 MT Public Health Summer Institute (Helena),Confluence 2025 (Helena)","Summer Institute,Confluence",NA
_031,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Multi-session series of trainings",Email,"Unaware of training events,Location,Costs",NA,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have heard of it but not created an account.,Yes,Other (please specify),Other (please specify),"American Water Research Association Conference, Flood Tabletop Emergency Response Exercise"
_032,QGZ,Region 1,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Meeting one on one with a mentor,Toolkit / Resource Manual",Email,"Unaware of training events,Location,Costs",NA,"Glendive,Miles City ,Sidney",NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_033,PQS,Region 4,Large,County Health Department,Non-supervisor,,"Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings",Email,Other (please specify),None,"Bozeman,Butte,Great Falls,Helena",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),Immunization collaboration
_034,PQS,Region 4,Large,County Health Department,Executive,,"In-person, hands on workshops,Online learning (live workshops),Multi-session series of trainings,Blended (combination of online and in-person components),Job shadowing",Email,"Location,Costs",NA,"Bozeman,Butte,Great Falls,Helena",NA,I have created an account and taken some of the available trainings.,Yes,"2024 MT Public Health Summer Institute (Helena),Confluence 2025 (Helena),Virtual MT PHTC Trainings,2024 NALBOH Annual Conference","Summer Institute,Confluence,Virtual MT PHTC Trainings,2024 NALBOH Annual Conference",NA
_035,PQS,Region 4,Large,County Health Department,Non-supervisor,,"Online learning (live workshops),Online learning (self-paced workshops)",Email,Other (please specify),Disability,"Helena,Missoula",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),online NEHA
_036,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,,"In-person, hands on workshops,Blended (combination of online and in-person components),Job shadowing","Email,Organization / Agency Websites",Unaware of training events,NA,"Kalispell ,Missoula",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Montana Public Health 101,Montana Public Health 101,NA
_037,WBW,Region 5,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components),Toolkit / Resource Manual",Email,"Unaware of training events,Location",NA,"Kalispell ,Missoula",NA,I have created an account.,Yes,Confluence 2024 (Missoula),Confluence,NA
_038,PQS,Region 4,Large,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Meeting one on one with a mentor,Toolkit / Resource Manual","Email,Connected Community,Social media,Organization / Agency Websites",Other (please specify),No barriers.  Training is encouraged,Helena,NA,I have heard of it but not created an account.,Yes,"Montana Public Health 101,Other (please specify)","Montana Public Health 101,Other (please specify)","FEMA !S-100, IS-700, County Procurement and Contracts.  County Grants training"
_039,WBW,Region 5,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops)",Email,"Logistics of travel,Family Responsibilities,Can't leave department / no back up",NA,"Kalispell ,Missoula",NA,I have heard of it but not created an account.,No,NA,NA,NA
_040,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Retreats (1 or 2-day sessions),Meeting one on one with a mentor,Blended (combination of online and in-person components)",Email,"Unaware of training events,Family Responsibilities,Costs",NA,"Billings,Glendive,Miles City ,Sidney",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Virtual MT PHTC Trainings,Virtual MT PHTC Trainings,NA
_041,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)","Email,Connected Community,Social media,Organization / Agency Websites","Location,Logistics of travel,Family Responsibilities,Costs",NA,"Billings,Bozeman,Butte,Kalispell ,Missoula",NA,I have heard of it but not created an account.,Yes,"2023 MT Public Health Summer Institute (Missoula),2024 MT Public Health Summer Institute (Helena),Confluence 2025 (Helena),Montana Public Health 101","Summer Institute,Summer Institute,Confluence,Montana Public Health 101",NA
_042,TDK,Region 1,Medium,County Health Department,Executive,,"In-person, hands on workshops,Meeting one on one with a mentor,Job shadowing",Email,"Location,Time of the year,Family Responsibilities",NA,"Glendive,Miles City ,Sidney",NA,I have created an account.,Yes,"Confluence 2023 (Billings),Virtual MT PHTC Trainings,Other (please specify)","Confluence,Virtual MT PHTC Trainings,Other (please specify)",AMPHO Board Member
_043,HPF,Region 4,Large,County Health Department,Non-supervisor,,Online learning (self-paced workshops),NA,Unaware of training events,NA,Bozeman,NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_044,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops",Email,"Not allowed work time to participate,Costs",NA,Kalispell,NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),CAN conference Helena
_045,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Meeting one on one with a mentor,Blended (combination of online and in-person components),Toolkit / Resource Manual",Email,Unaware of training events,NA,Bozeman,interpersonal work conflict resolution,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Confluence 2025 (Helena),Confluence,NA
_046,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings,Meeting one on one with a mentor,Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing",Email,"Location,Time of the year,Logistics of travel,Family Responsibilities,Topics that do not interest me,Costs",NA,"Billings,Bozeman,Butte,Helena,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2023 (Billings),Confluence 2024 (Missoula),Confluence 2025 (Helena),NWCPHP Public Health Management Certificate,APHA 2023 Annual Meeting","Confluence,Confluence,Confluence,NWCPHP Public Health Management Certificate,APHA Annual Meeting",NA
_047,HPF,Region 4,Large,County Health Department,Supervisor,,"Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Meeting one on one with a mentor,Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing",Email,"Location,Time of the year,Logistics of travel,Family Responsibilities,Can't leave department / no back up,Costs",NA,Bozeman,NA,I have created an account.,Yes,Other (please specify),Other (please specify),Immunization Webinars
_048,HPF,Region 4,Large,County Health Department,Executive,,"In-person, hands on workshops,Lectures,Online learning (live workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)","Email,Digital Newsletter","Logistics of travel,Family Responsibilities,Costs",NA,Bozeman,NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2023 (Billings),Confluence 2025 (Helena),APHA 2023 Annual Meeting","Confluence,Confluence,APHA Annual Meeting",NA
_049,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Blended (combination of online and in-person components),Toolkit / Resource Manual",Email,"Location,Other (please specify)",Topics not relevant to job.,"Glendive,Miles City ,Sidney",NA,I have created an account and taken some of the available trainings.,No,NA,NA,NA
_050,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings,Toolkit / Resource Manual,Job shadowing",Organization / Agency Websites,"Logistics of travel,Family Responsibilities",NA,"Billings,Bozeman,Butte,Great Falls,Helena,Kalispell ,Miles City ,Missoula",NA,I have created an account.,Yes,"Confluence 2025 (Helena),Montana Public Health 101","Confluence,Montana Public Health 101",NA
_051,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)","Email,Connected Community","Unaware of training events,Location,Time of the year,Logistics of travel,Topics that do not interest me,Can't leave department / no back up,Costs",NA,"Bozeman,Helena",NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_052,TDK,Region 1,Medium,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings","Email,Digital Newsletter,Organization / Agency Websites","Location,Time of the year,Logistics of travel,Costs",NA,"Billings,Glendive,Sidney",NA,I have created an account and taken some of the available trainings.,Yes,"2024 MT Public Health Summer Institute (Helena),Confluence 2023 (Billings),Confluence 2025 (Helena),Virtual MT PHTC Trainings,2024 NALBOH Annual Conference","Summer Institute,Confluence,Confluence,Virtual MT PHTC Trainings,2024 NALBOH Annual Conference",NA
_053,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Colleagues observing me & providing feedback,Online learning (live workshops),Online learning (self-paced workshops),Blended (combination of online and in-person components),Job shadowing",Email,Other (please specify),none,"Billings,Glendive,Miles City ,Sidney",NA,I have created an account.,Yes,Virtual MT PHTC Trainings,Virtual MT PHTC Trainings,NA
_054,GMU,Region 1,Frontier,County Health Department,Executive,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Toolkit / Resource Manual","Email,Other (please specify)","Location,Time of the year,Logistics of travel,Can't leave department / no back up",NA,"Glendive,Miles City ,Sidney","get all departments at state on the same page with training mechanisms, call scheduling, TOO MANY CALLS and MEETINGS, things overlap too much, LOCATIONS for training are impossible (Helena!! FOrt Harrison!!!)",I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),2024 MT Public Health Summer Institute (Helena)","Summer Institute,Summer Institute",NA
_055,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Retreats (1 or 2-day sessions),Toolkit / Resource Manual",Email,"Location,Time of the year,Logistics of travel,Family Responsibilities,Costs",NA,"Billings,Glasgow,Glendive,Miles City ,Sidney",NA,I have heard of it but not created an account.,No,NA,NA,NA
_056,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Colleagues observing me & providing feedback,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Blended (combination of online and in-person components),Toolkit / Resource Manual,Job shadowing",Email,"Unaware of training events,Location,Logistics of travel,Can't leave department / no back up,Not allowed work time to participate,Costs",NA,Helena,NA,I have created an account and taken some of the available trainings.,Yes,Confluence 2025 (Helena),Confluence,NA
_057,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)",Email,"Unaware of training events,Logistics of travel,Family Responsibilities,Topics that do not interest me,Costs",NA,Helena,NA,I have heard of it but not created an account.,Yes,Other (please specify),Other (please specify),none of the above
_058,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings",Email,Family Responsibilities,NA,"Bozeman,Butte",NA,I have created an account and taken some of the available trainings.,Yes,"2024 MT Public Health Summer Institute (Helena),Virtual MT PHTC Trainings","Summer Institute,Virtual MT PHTC Trainings",NA
_059,TDK,Region 1,Medium,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (self-paced workshops)",Email,Other (please specify),available work hours,"Billings,Glendive,Miles City",NA,I have created an account.,Yes,Other (please specify),Other (please specify),I don't believe I have had any trainings but can't go back in the survey
_060,QGZ,Region 1,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (self-paced workshops),Multi-session series of trainings,Blended (combination of online and in-person components)",Email,"Unaware of training events,Location,Time of the year,Logistics of travel,Family Responsibilities,Can't leave department / no back up,Costs",NA,"Glendive,Miles City ,Sidney",NA,I have created an account and taken some of the available trainings.,Yes,Other (please specify),Other (please specify),CDC Immunizations Pink Book trainings
_061,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions)",Email,Other (please specify),I've been working at my job for just under 3 months.,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
_062,ZAP,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Meeting one on one with a mentor","Email,Organization / Agency Websites","Location,Can't leave department / no back up,Costs",NA,"Bozeman,Butte,Helena,Other (please specify)",NA,I have created an account.,Yes,Other (please specify),Other (please specify),"Breastfeeding Learning Collaborative, Perinatal Mental Health Conference"
_063,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)",Email,Unaware of training events,NA,"Billings,Bozeman,Butte,Great Falls,Helena,Missoula",N/a,I have never heard of TRAIN Montana and do not know how to access it.,Yes,"Montana Public Health 101,Other (please specify)","Montana Public Health 101,Other (please specify)",Car Seat Tech & CLC
_064,ZAP,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Retreats (1 or 2-day sessions)",Email,"Unaware of training events,Costs",NA,"Bozeman,Butte,Helena,Missoula",NA,I have created an account.,Yes,"Confluence 2024 (Missoula),Confluence 2025 (Helena)","Confluence,Confluence",NA
_065,ZAP,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (self-paced workshops)",Email,"Unaware of training events,Family Responsibilities",NA,"Bozeman,Butte,Helena,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,Other (please specify),Other (please specify),"peer support training, ASIST training, WRAP training"
_066,QGZ,Region 1,Small,County Health Department,Supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Multi-session series of trainings","Email,Digital Newsletter","Unaware of training events,Logistics of travel,Topics that do not interest me",NA,"Glendive,Miles City ,Sidney",NA,I have created an account and taken some of the available trainings.,Yes,"Montana Public Health 101,Virtual MT PHTC Trainings","Montana Public Health 101,Virtual MT PHTC Trainings",NA
_067,TDK,Region 1,Medium,County Health Department,Supervisor,,"Group meetings,Online learning (live workshops)",Email,"Unaware of training events,Location,Family Responsibilities,Topics that do not interest me",NA,"Billings,Glendive,Miles City ,Sidney",NA,I have created an account.,Yes,Virtual MT PHTC Trainings,Virtual MT PHTC Trainings,NA
_068,ZAP,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Job shadowing",Email,Unaware of training events,NA,"Bozeman,Butte,Helena",NA,I have created an account and taken some of the available trainings.,Yes,Virtual MT PHTC Trainings,Virtual MT PHTC Trainings,NA
_069,HPF,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (self-paced workshops),Retreats (1 or 2-day sessions)",Email,"Location,Time of the year,Family Responsibilities",NA,Bozeman,NA,I have created an account.,Yes,Other (please specify),Other (please specify),Several trainings on mental health concerning families
_070,HPF,Region 4,Large,County Health Department,Non-supervisor,,"Online learning (live workshops),Online learning (self-paced workshops)","Email,Digital Newsletter",Other (please specify),..,Bozeman,NA,I have heard of it but not created an account.,No,NA,NA,NA
_071,WBW,Region 5,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Retreats (1 or 2-day sessions)","Email,Connected Community",Unaware of training events,NA,"Kalispell ,Missoula",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),2023 MTUPP Orientation and 2024 MTUPP Summit
_072,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Multi-session series of trainings,Blended (combination of online and in-person components)","Email,Digital Newsletter","Unaware of training events,Can't leave department / no back up,Costs",NA,"Bozeman,Butte,Helena",Cost Benefit Analysis Course,I have created an account.,Yes,"Confluence 2023 (Billings),Confluence 2025 (Helena),Other (please specify)","Confluence,Confluence,Other (please specify)",targeted state summits trainings and out of state best practice site visit
