"","lhj_code","region","size","agency","supervisor_status","current_yrs","agency_yrs","ph_practice_yrs","ph_mangmt_yrs","f_love_job","f_treated_fairly","f_work_life_balance","f_paid_fairly","f_happy_input","f_manage_demands","f_psych_safe","f_voice_concerns","s_job","s_org","s_work_unit","s_supervisor","s_pay","s_benefits","s_treated_fair_age","s_treated_fair_race","s_treated_fair_gender","s_treated_fair_sex_orient","s_treated_fair_diability","s_sup_interpersonal_skills","s_belonging_work_unit","s_belonging_agency","comments","mental_emotional_health","s_comfort_using_PTO","s_able_complete_40hr","have_to_do_more","s_agency_mh_policy_support","burnout","well_participate","well_org","well_org_other","well_interest","well_interest_type","well_interest_type_other","considering_leaving","leaving_plans","leaving_plans_other","leaving_org_reasons","leaving_orgs_reasons_other","why_staying","why_staying_other","Retirement_year","gender","gender_other","race","Race_other","age","Degrees","assoc_degree_other","bach_degree_other","master_degree_other","publichealth_phd_other","phd_other","degree_pursuing","pursuing_degree_asso_other","pursuing_degree_bach_other","pursuing_degree_master_other","pursuing_degree_phPhd_other","pursuing_degree_phd_other","degree_concentration_other","primary_concentration_degree","primary_concentration_degree_other","current_credentials","current_credentials_list","credentials_interest","credentials_interest_list","credentials_interest_list_other","highest_degree","sup_status","sup_status_recat","retire_recat","leave_or_retire","burnout_recat","s_job_recat","s_org_recat","s_work_unit_recat","s_supervisor_recat","s_pay_recat","s_benefits_recat","s_treated_fair_age_recat","s_treated_fair_race_recat","s_treated_fair_gender_recat","s_treated_fair_sex_orient_recat","s_treated_fair_diability_recat","s_sup_interpersonal_skills_recat","s_belonging_work_unit_recat","s_belonging_agency_recat","s_comfort_using_PTO_recat","s_able_complete_40hr_recat","s_agency_mh_policy_support_recat","f_love_job_recat","f_treated_fairly_recat","f_work_life_balance_recat","f_paid_fairly_recat","f_happy_input_recat","f_manage_demands_recat","f_psych_safe_recat","f_voice_concerns_recat","region_color_cat","degree_recat","age_group","age_group_lg","max_yrs","max_yrs_cat","satisfied_job","leave_retire2"
"70","HPF","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",NA,NA,NA,NA,"Almost Always","Almost Always","Almost Always","Almost Always","Almost Always","Almost Always","Almost Always","Almost Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"Very Good","Agree","Agree","Strongly Disagree","Strongly Agree","I have no symptoms of burnout","Yes","Workplace",NA,"Yes","Virtual training",NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,job satisfaction,job stability,satisfaction with your supervisor,support from coworkers",NA,"2029","Woman",NA,"White",NA,61,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not formally certified",NA,"No",NA,NA,"High school or equivalent","Non-supervisor","Non-supervisor","before 2030","retiring","None","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","less than Bachelors","55-64","55+",NA,"Unknown","satisfied with job","leaving OR retiring"
"71","WBW","Region 5","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",2,2,2,NA,"Almost Always","Always","Almost Always","Almost Always","Almost Always","Almost Always","Always","Always","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree",NA,"Very Good","Agree","Strongly Agree","Disagree","Agree","I have one or more symptoms of burnout that come and go away","No",NA,NA,"Yes","Wellness coaching",NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,job stability,pay,remote work policies,satisfaction with your supervisor",NA,"I am not planning to retire before 2030","Man",NA,"White",NA,51,"MEd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Certification (please specify)","Professional Certified Teacher","Yes","Other Certification (please specify)","Tobacco Treatment Specialist","Masters or higher","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","45-54","35-54",2,"0-4","satisfied with job","staying"
"72","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",5,5,5,NA,"Usually","Almost Always","Usually","Almost Always","Sometimes","Almost Always","Almost Always","Almost Always","Agree","Agree","Disagree","Disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Agree","Supervisor engagement and opportunities have appeared to be influenced by friendship at times ie; longer supervision time/closed door,  lunch outings and inititives","Very Good","Agree","Disagree","Disagree","Agree","I have one or more symptoms of burnout that come and go away","Yes","Workplace,Montana Public Health Training Center - Wellness Program,Other (please specify)","Self directed","Yes","Art therapy,Guided meditation",NA,"Yes","Other (please specify)","Impacts of FY26 Federal Budget Cuts will influence decision","job instability, layoffs),lack of support from coworkers,leadership changeover,stress,work overload / burnout,other","work/life balance difficult to obtain in position",NA,NA,"2026","Woman",NA,"White",NA,60,"High school or equivalent,BS/BA,MA/MS,Other master's degree (please specify)",NA,NA,"Non-profit Management",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"Masters or higher","Non-supervisor","Non-supervisor","before 2030","retiring","Some","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Sometimes","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","55-64","55+",5,"5-9","satisfied with job","leaving OR retiring"
"73","WBW","Region 5","Large","County Health Department","Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",7,11,11,7,"Usually","Usually","Almost Always","Sometimes","Sometimes","Usually","Usually","Almost Always","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Support from higher-level leadership is needed to create a respectful and professional environment where all staff are held to the same behavioral expectations.","Excellent","Strongly Agree","Agree","Strongly Agree","Agree","I have one or more symptoms of burnout that come and go away","No",NA,NA,"Yes","Sound therapy,Art therapy,Guided meditation",NA,"No",NA,NA,NA,NA,"flexible work schedule,job stability,pride in the organization and its mission,training opportunities",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,40,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","CPHA","Yes","Other Certification (please specify)","MPH-policy","Bachelors","Supervisor","Supervisor/Executive","after 2030","not leaving or retiring","Some","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Sometimes","Sometimes","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","35-44","35-54",11,"10+","not satisfied with job","staying"
"74","PQS","Region 4","Large","County Health Department","Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",7,12,12,8,"Almost Always","Always","Always","Always","Always","Usually","Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Excellent culture with work-home life balance.  Voices are heard.  Respect demonstrated to all/from all.","Excellent","Strongly Agree","Agree","Agree","Strongly Agree","I have one or more symptoms of burnout that come and go away","No",NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,"exciting and challenging work,flexible work schedule,job satisfaction,organizational climate / culture,pride in the organization and its mission,satisfaction with your agency's leadership,satisfaction with your supervisor,support from coworkers",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,55,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nurse certification (RN, LPN, NP, BSN)",NA,"Yes","Nurse certification (RN, LPN, NP, BSN)",NA,"Bachelors","Supervisor","Supervisor/Executive","after 2030","not leaving or retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","55-64","55+",12,"10+","satisfied with job","staying"
"75","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",0,0,0,NA,"Almost Always","Almost Always","Almost Always","Sometimes","Almost Always","Usually","Always","Always","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree",NA,"Fair","Strongly Agree","Agree","Disagree","Agree","I have one or more symptoms of burnout that come and go away","No",NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,"exciting and challenging work,flexible work schedule,job satisfaction,job stability,organizational climate / culture,pride in the organization and its mission,satisfaction with your agency's leadership,training opportunities",NA,"I am not planning to retire before 2030","Man",NA,"White",NA,33,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"Bachelors","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","Some","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Sometimes","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","18-34","18-34",0,"0-4","satisfied with job","staying"
"76","HPF","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,1,1,NA,"Rarely","Almost Always","Sometimes","Always","Usually","Almost Always","Sometimes","Sometimes","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree",NA,"Fair","Agree","Agree","Disagree","Disagree","I have one or more symptoms of burnout that won't go away","Yes","Workplace",NA,"Yes","Art therapy",NA,"Yes","Take a non-governmental job not in public health",NA,"job instability, layoffs),job satisfaction,lack of acknowledgement / recognition,lack of flexible work schedule,remote work policies,stress",NA,NA,NA,"I am not planning to retire before 2030","Woman",NA,"Asian,White,Mixed Race",NA,24,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Not formally certified",NA,"Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"Bachelors","Non-supervisor","Non-supervisor","after 2030","leaving not retiring","Chronic or Complete","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Rarely/Never","Usually/Always","Sometimes","Usually/Always","Usually/Always","Usually/Always","Sometimes","Sometimes","Region 4 and 5","Bachelors or higher","18-34","18-34",1,"0-4","not satisfied with job","leaving OR retiring"
"77","PRF","Region 4","Medium","County Health Department","Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",5,11,11,5,"Almost Always","Usually","Usually","Almost Always","Usually","Usually","Almost Always","Usually","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,"Very Good","Agree","Agree","Disagree","Agree","I have one or more symptoms of burnout that come and go away","Yes","Insurance provider,Montana Public Health Training Center - Wellness Program",NA,"Yes","Wellness coaching,Art therapy,Wellness Champions Program,Virtual training,In-person training,Guided meditation",NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,exciting and challenging work,flexible work schedule,job satisfaction,organizational climate / culture,pride in the organization and its mission,remote work policies,satisfaction with your agency's leadership,support from coworkers,training opportunities",NA,"2027","Woman",NA,"White",NA,62,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nurse certification (RN, LPN, NP, BSN)",NA,"No",NA,NA,"Bachelors","Supervisor","Supervisor/Executive","before 2030","retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","55-64","55+",11,"10+","satisfied with job","leaving OR retiring"
"78","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",7,19,19,NA,"Almost Always","Always","Always","Always","Always","Almost Always","Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Welcoming, encouraging, warm, caring","Very Good","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","I have no symptoms of burnout","Yes","Workplace",NA,"Yes","Wellness coaching,Virtual training,In-person training",NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,flexible work schedule,job satisfaction,job stability,pride in the organization and its mission,satisfaction with your supervisor,support from coworkers",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,42,"Other associate degree (please specify)","Accounting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Not formally certified",NA,"No",NA,NA,"Associates","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","None","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","less than Bachelors","35-44","35-54",19,"10+","satisfied with job","staying"
"79","HPF","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",4,4,4,NA,"Usually","Almost Always","Sometimes","Almost Always","Usually","Usually","Almost Always","Almost Always","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree",NA,"Good","Agree","Agree","Disagree","Agree","I have one or more symptoms of burnout that come and go away","No",NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,"benefits,job stability,pay,support from coworkers",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,32,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"No",NA,NA,"Bachelors","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Sometimes","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","18-34","18-34",4,"0-4","satisfied with job","staying"
"80","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",3,4,4,NA,"Usually","Almost Always","Always","Usually","Almost Always","Almost Always","Almost Always","Almost Always","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree",NA,"Very Good","Agree","Strongly Agree","Agree","Agree","I have one or more symptoms of burnout that come and go away","Yes","Workplace",NA,"Yes","Art therapy,Guided meditation",NA,"Yes","Take a non-governmental job in public health",NA,"job instability, layoffs),lack of opportunities for advancement,pay",NA,NA,NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,47,"BS/BA,Other master's degree (please specify)",NA,NA,"writing",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Certified Community Health Worker",NA,"Yes","Certified Community Health Worker",NA,"Masters or higher","Non-supervisor","Non-supervisor","after 2030","leaving not retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","45-54","35-54",4,"0-4","satisfied with job","leaving OR retiring"
"81","PQS","Region 4","Large","County Health Department","Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",4,18,NA,4,"Almost Always","Always","Almost Always","Almost Always","Almost Always","Usually","Always","Almost Always","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree",NA,"Good","Agree","Agree","Disagree","Agree","I have one or more symptoms of burnout that come and go away","Yes","Workplace",NA,"Yes","Wellness coaching,In-person training",NA,"No",NA,NA,NA,NA,"benefits,exciting and challenging work,flexible work schedule,job satisfaction,job stability,organizational climate / culture,pay,pride in the organization and its mission,satisfaction with your agency's leadership,satisfaction with your supervisor,support from coworkers,training opportunities,unsatisfactory opportunities outside of the agency",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,46,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Health Education",NA,"Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"Yes","Certified in Public Health (CPH)",NA,"Bachelors","Supervisor","Supervisor/Executive","after 2030","not leaving or retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","45-54","35-54",18,"10+","satisfied with job","staying"
"82","KRO","Region 1","Small","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,1,1,NA,"Sometimes","Almost Always","Almost Always","Usually","Usually","Usually","Usually","Almost Always","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,"Good","Agree","Agree","Disagree","Agree","I have no symptoms of burnout","No",NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,job satisfaction,lack of stress,pride in the organization and its mission,satisfaction with your supervisor,support from coworkers,training opportunities",NA,"I am not planning to retire before 2030","Woman",NA,"Asian",NA,30,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nurse certification (RN, LPN, NP, BSN)",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Infection Control Certification (CIC)",NA,"Bachelors","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","None","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Sometimes","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 1 and 2","Bachelors or higher","18-34","18-34",1,"0-4","satisfied with job","staying"
"83","KRO","Region 1","Small","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,2,2,NA,"Almost Always","Almost Always","Almost Always","Sometimes","Usually","Almost Always","Almost Always","Almost Always","Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,"Good","Agree","Agree","Disagree","Agree","I have no symptoms of burnout","No",NA,NA,"Yes","Virtual training",NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,flexible work schedule,opportunities for advancement",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,31,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"High school or equivalent","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","None","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Sometimes","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 1 and 2","less than Bachelors","18-34","18-34",2,"0-4","satisfied with job","staying"
"84","KRO","Region 1","Small","County Health Department","Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",1,5,5,1,"Sometimes","Sometimes","Rarely","Never","Almost Always","Sometimes","Usually","Almost Always","Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Thankfully we are in a different building than our commissioners, as we like to keep off of their radar. We don't have the same support from them as other counties, so we like to stay self sufficient. We keep to ourselves and try to keep our department running.","Poor","Disagree","Disagree","Agree","Disagree","I am completely burnt out, my symptoms won't go away","No",NA,NA,"Yes","Other (please specify)","Therapy dogs would be nice.","Yes","Take another governmental job in public health",NA,"job satisfaction,lack of acknowledgement / recognition,pay,reasons unrelated to my job,stress,work overload / burnout",NA,NA,NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,25,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not formally certified",NA,"Yes","Certified Community Health Worker,Certified in Public Health (CPH),Infection Control Certification (CIC)",NA,"High school or equivalent","Supervisor","Supervisor/Executive","after 2030","leaving not retiring","Chronic or Complete","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Sometimes","Sometimes","Rarely/Never","Rarely/Never","Usually/Always","Sometimes","Usually/Always","Usually/Always","Region 1 and 2","less than Bachelors","18-34","18-34",5,"5-9","not satisfied with job","leaving OR retiring"
"85","JMO","Region 1","Small","County Health Department","Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",10,NA,10,10,"Almost Always","Almost Always","Almost Always","Usually","Always","Almost Always","Almost Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","The Commissioner's are easy to work with.  The team at Public Health is wonderful.","Excellent","Strongly Agree","Agree","Agree","Agree","I have one or more symptoms of burnout that come and go away","Yes","Montana Public Health Training Center - Wellness Program",NA,"Yes","Wellness coaching,Sound therapy,Virtual training,Guided meditation",NA,"No",NA,NA,NA,NA,"benefits,job satisfaction",NA,"2027","Woman",NA,"White",NA,66,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not formally certified",NA,"No",NA,NA,"High school or equivalent","Supervisor","Supervisor/Executive","before 2030","retiring","Some","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 1 and 2","less than Bachelors","65-74","55+",10,"10+","satisfied with job","leaving OR retiring"
"86","HPF","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,1,1,NA,"Sometimes","Usually","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree",NA,"Poor","Disagree","Disagree","Agree","Disagree","I have one or more symptoms of burnout that won't go away","No",NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,"support from coworkers",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,37,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Not formally certified",NA,"Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"Bachelors","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","Chronic or Complete","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Sometimes","Usually/Always","Rarely/Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Region 4 and 5","Bachelors or higher","35-44","35-54",1,"0-4","satisfied with job","staying"
"87","HPF","Region 4","Large","County Health Department","Executive: member of senior executive service or equivalent",2,2,4,2,"Almost Always","Always","Usually","Usually","Always","Usually","Almost Always","Always","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree",NA,"Very Good","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","I have one or more symptoms of burnout that come and go away","No",NA,NA,"Yes","Wellness coaching,Sound therapy,Art therapy,Wellness Champions Program,Virtual training,In-person training,Guided meditation,Other (please specify)","Organizational/Priority classes- how to trick yourself into being more successful","No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,exciting and challenging work,flexible work schedule,job satisfaction,job stability,mentorship opportunities,opportunities for advancement,organizational climate / culture,pride in the organization and its mission,remote work policies,satisfaction with your agency's leadership,satisfaction with your supervisor,support from coworkers,training opportunities",NA,"I am not planning to retire before 2030","Woman",NA,"American Indian or Alaska Native",NA,27,"High school or equivalent,I am currently pursuing a degree",NA,NA,NA,NA,NA,"Other associate degree (please specify)","Cyber Security",NA,NA,NA,NA,NA,NA,NA,"Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH),Diabetes Educator Certification (CDE),Infection Control Certification (CIC),Laboratory Certification,Licensed Clinical Social Worker (LCSW),Physical Activity in Public Health Specialist (PAPHS),Physician Assistant - Certified (PA-C),Preventive Medicine Physician Board Certification,Registered Dietitian (RD),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS),Other Certification (please specify)","Any Technology certifications would be helpful for my role.","High school or equivalent","Executive","Supervisor/Executive","after 2030","not leaving or retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","less than Bachelors","18-34","18-34",4,"0-4","satisfied with job","staying"
