lhj_code,region,size,agency,supervisor_status,current_yrs,agency_yrs,ph_practice_yrs,ph_mangmt_yrs,f_love_job,f_treated_fairly,f_work_life_balance,f_paid_fairly,f_happy_input,f_manage_demands,f_psych_safe,f_voice_concerns,s_job,s_org,s_work_unit,s_supervisor,s_pay,s_benefits,s_treated_fair_age,s_treated_fair_race,s_treated_fair_gender,s_treated_fair_sex_orient,s_treated_fair_diability,s_sup_interpersonal_skills,s_belonging_work_unit,s_belonging_agency,comments,mental_emotional_health,s_comfort_using_PTO,s_able_complete_40hr,have_to_do_more,s_agency_mh_policy_support,burnout,considering_leaving,leaving_plans,leaving_plans_other,leaving_org_reasons,leaving_orgs_reasons_other,why_staying,why_staying_other,Retirement_year,gender,gender_other,race,Race_other,age,Degrees,assoc_degree_other,bach_degree_other,master_degree_other,publichealth_phd_other,phd_other,degree_pursuing,pursuing_degree_asso_other,pursuing_degree_bach_other,pursuing_degree_master_other,pursuing_degree_phPhd_other,pursuing_degree_phd_other,degree_concentration_other,primary_concentration_degree,primary_concentration_degree_other,current_credentials,current_credentials_list,credentials_interest,credentials_interest_list,credentials_interest_list_other
QGZ,Region 1,Small,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",10,15,15,NA,Almost Always,Almost Always,Always,Almost Always,Almost Always,Almost Always,Always,Always,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,NA,Very Good,Strongly Agree,Disagree,Agree,Agree,I have one or more symptoms of burnout that won't go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Flexible work schedule (e.g., flex hours),Job satisfaction,Organizational climate / culture,Pride in the organization and its mission,Satisfaction with your agency's leadership (e.g., Health Commissioner, Senior Deputy, etc.),Satisfaction with your supervisor,Support from coworkers",NA,2028,Woman,NA,White,NA,57,High school or equivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not formally certified,NA,No,NA,NA
QGZ,Region 1,Small,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",7,7,7,NA,Usually,Usually,Always,Never,Sometimes,Usually,Always,Sometimes,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,Good,Agree,Agree,Agree,Disagree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Flexible work schedule (e.g., flex hours),Support from coworkers",NA,I am not planning to retire before 2030,Woman,NA,White,NA,36,High school or equivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not formally certified,NA,No,NA,NA
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,10,10,NA,Almost Always,Always,Almost Always,Almost Always,Almost Always,Usually,Always,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,Very Good,Agree,Agree,Agree,Agree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Acknowledgement / recognition for your work,Benefits (e.g., retirement contributions / pensions, health insurance),Exciting and challenging work,Flexible work schedule (e.g., flex hours),Job satisfaction,Opportunities for advancement,Organizational climate / culture,Pay,Pride in the organization and its mission,Remote work policies,Satisfaction with your agency's leadership (e.g., Health Commissioner, Senior Deputy, etc.),Satisfaction with your supervisor,Support from coworkers,Training opportunities,Unsatisfactory opportunities outside of the agency",NA,I am not planning to retire before 2030,Woman,NA,White,NA,31,MBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not formally certified,NA,No,NA,NA
PQS,Region 4,Large,County Health Department,"Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",1,1,1,1,Sometimes,Sometimes,Usually,Rarely,Sometimes,Usually,Usually,Usually,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,"The environment can be a challenge due to the various programs, positions, and the differences in program - department working schedules.",Fair,Disagree,Disagree,Disagree,Agree,I have one or more symptoms of burnout that won't go away,Yes,Other (please specify),Not sure but would consider staying with the county or state govrenment,"Job satisfaction,Lack of flexible work schedule (e.g., flex hours),Lack of opportunities for advancement,Lack of support from coworkers,Organizational climate / culture,Pay,Remote work policies",NA,NA,NA,I am not planning to retire before 2030,Woman,NA,White,NA,1,BS/BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Not formally certified,NA,Yes,Other Certification (please specify),Anything that would assist the department
WBW,Region 5,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",5,5,5,NA,Almost Always,Sometimes,Always,Sometimes,Rarely,Always,Sometimes,Sometimes,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,"I have formal education and experience that can help improve workflow; however, most times that is overlooked even though I am asked to join most committees/meetings that currently make decisions in our office. I feel very undervalued, sometimes worthless and most times not included until after the fact. I don't like that I am asked to join these committees then just nothing I do or say is valued. It feels very misleading and I don't know where I actually stand.",Good,Agree,Strongly Agree,Strongly Agree,Disagree,I have one or more symptoms of burnout that won't go away,Yes,Other (please specify),pursue further education to elevate myself from my current associated degree,"Job instability (e.g., loss of funding, reduction in force (RIF), layoffs),Lack of acknowledgement / recognition,Lack of opportunities for advancement,Lack of support from coworkers,Pay,Other (please specify)",lack of communication; seems if you miss anything you are left not knowing you don't know the most updated information.,NA,NA,I am not planning to retire before 2030,Woman,NA,White,NA,50,Other associate degree (please specify),Associates of Applied Science in Health Information Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Not formally certified,NA,Yes,"Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS),Other Certification (please specify)","HIPAA certification, RHIT (credential for my degree), Medical Assistant"
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",0,0,15,NA,Almost Always,Always,Almost Always,Almost Always,Always,Always,Always,Almost Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I absolutely love my job!  I have been here 8 months and I plan to be here as long as the funding allows.  The flexibility is amazing and I feel like I have a voice in my current position.,Very Good,Agree,Agree,Disagree,Agree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Acknowledgement / recognition for your work,Benefits (e.g., retirement contributions / pensions, health insurance),Exciting and challenging work,Flexible work schedule (e.g., flex hours),Job satisfaction,Organizational climate / culture,Pay,Pride in the organization and its mission,Remote work policies,Satisfaction with your agency's leadership (e.g., Health Commissioner, Senior Deputy, etc.),Satisfaction with your supervisor,Support from coworkers,Training opportunities,Unsatisfactory opportunities outside of the agency",NA,I am not planning to retire before 2030,Woman,NA,White,NA,41,BS/BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Not formally certified,NA,Yes,"Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA
JIK,Region 1,Frontier,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",10,10,10,NA,Almost Always,Almost Always,Almost Always,Usually,Almost Always,Almost Always,Almost Always,Almost Always,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,Very Good,Strongly Agree,Agree,Disagree,Agree,I have no symptoms of burnout,No,NA,NA,NA,NA,"Flexible work schedule (e.g., flex hours),Job satisfaction,Job stability,Satisfaction with your supervisor,Support from coworkers",NA,I am not planning to retire before 2030,Woman,NA,White,NA,37,Associate's degree in nursing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nurse certification (RN, LPN, NP, BSN)",NA,Yes,"Certified Community Health Worker,Physical Activity in Public Health Specialist (PAPHS)",NA
SAA,Region 1,Frontier,County Health Department,"Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",3,2,2,3,Usually,Usually,Sometimes,Usually,Usually,Rarely,Sometimes,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,Good,Agree,Agree,Agree,Disagree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Flexible work schedule (e.g., flex hours)",NA,I am not planning to retire before 2030,Woman,NA,White,NA,37,BSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nurse certification (RN, LPN, NP, BSN)",NA,Yes,"Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Health Education Specialist (CHES or Master CHES),Infection Control Certification (CIC),Physical Activity in Public Health Specialist (PAPHS)",NA
SMA,Region 1,Medium,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",15,10,15,NA,Sometimes,Sometimes,Almost Always,Sometimes,Almost Always,Usually,Almost Always,Almost Always,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,Good,Agree,Agree,Agree,Agree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Pay,Support from coworkers",NA,I am not planning to retire before 2030,Prefer not to answer,NA,White,NA,67,"Associate's degree in nursing,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infection Control Certification (CIC),NA,Yes,Infection Control Certification (CIC),NA
WBW,Region 5,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",12,12,12,NA,Almost Always,Sometimes,Almost Always,Almost Always,Usually,Almost Always,Usually,Usually,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,NA,Fair,Strongly Agree,Agree,Disagree,Disagree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Flexible work schedule (e.g., flex hours)",NA,I am not planning to retire before 2030,Woman,NA,White,NA,50,High school or equivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not formally certified,NA,No,NA,NA
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,1,1,NA,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Usually,Sometimes,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,NA,Fair,Strongly Disagree,Disagree,Strongly Agree,Agree,I have one or more symptoms of burnout that won't go away,Yes,Leave the workforce,NA,"Better opportunities outside the agency,Pay,Reasons unrelated to my job (e.g., family obligations, health reasons, lack of affordable child-care options, moving, etc.),Stress,Work overload / burnout",NA,NA,NA,I am not planning to retire before 2030,Woman,NA,White,NA,24,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Not formally certified,NA,Yes,"Nurse certification (RN, LPN, NP, BSN),Registered Dietitian (RD)",NA
CYQ,Region 5,Small,Tribal Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,1,17,NA,Almost Always,Almost Always,Sometimes,Sometimes,Usually,Sometimes,Usually,Almost Always,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,NA,Very Good,Agree,Agree,Disagree,Agree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Exciting and challenging work,Flexible work schedule (e.g., flex hours),Job satisfaction,Organizational climate / culture,Pride in the organization and its mission,Satisfaction with your agency's leadership (e.g., Health Commissioner, Senior Deputy, etc.),Satisfaction with your supervisor,Support from coworkers",NA,I am not planning to retire before 2030,Woman,NA,American Indian or Alaska Native,NA,65,"High school or equivalent,Associate's degree in nursing,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nurse certification (RN, LPN, NP, BSN)",NA,No,NA,NA
CYQ,Region 5,Small,Tribal Health Department,"Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",8,8,14,8,Almost Always,Usually,Usually,Usually,Almost Always,Usually,Sometimes,Usually,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,NA,Good,Strongly Agree,Disagree,Agree,Agree,I have one or more symptoms of burnout that come and go away,Yes,Retire,NA,Retirement,NA,NA,NA,2026,Woman,NA,White,NA,60,MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not formally certified,NA,No,NA,NA
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,4,4,NA,Almost Always,Almost Always,Almost Always,Usually,Almost Always,Always,Usually,Almost Always,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,NA,Good,Agree,Strongly Agree,Disagree,Agree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Job stability,Pride in the organization and its mission,Remote work policies",NA,I am not planning to retire before 2030,Woman,NA,White,NA,53,MPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC)",NA,Yes,"Certified in Public Health (CPH),Diabetes Educator Certification (CDE)",NA
CYQ,Region 5,Small,Tribal Health Department,"Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",2,10,10,10,Usually,Usually,Usually,Always,Always,Always,Sometimes,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,NA,Good,Agree,Agree,Disagree,Agree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Exciting and challenging work,Flexible work schedule (e.g., flex hours),Job satisfaction,Lack of stress,Pay,Pride in the organization and its mission,Remote work policies,Satisfaction with your supervisor,Training opportunities,Unsatisfactory opportunities outside of the agency",NA,2026,Woman,NA,"American Indian or Alaska Native,White",NA,45,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","DNP, FNP-C",No,NA,NA
JIK,Region 1,Frontier,County Health Department,"Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",11,15,11,11,Almost Always,Usually,Usually,Almost Always,Almost Always,Almost Always,Sometimes,Sometimes,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,NA,Good,Agree,Disagree,Agree,Strongly Disagree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Flexible work schedule (e.g., flex hours),Other (please specify)",Family is nearby,I am not planning to retire before 2030,Woman,NA,White,NA,55,Associate's degree in nursing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)",ACLS,Yes,"Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA
