"resp_id","region","size","sup_status","current_credentials","cred_recat","current_credentials_list","credentials_interest","credentials_interest_list","credentials_interest_list_other","Degrees","assoc_degree_other","bach_degree_other","master_degree_other","degree_pursuing","pursuing_degree_asso_other","pursuing_degree_bach_other","pursuing_degree_master_other","pursuing_degree_phPhd_other","pursuing_degree_phd_other","degree_concentration_other","primary_concentration_degree","primary_concentration_degree_other","highest_degree","degree_recat"
16,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
17,"Region 1","Frontier","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified Community Health Worker,Physical Activity in Public Health Specialist (PAPHS)",NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
18,"Region 1","Frontier","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Health Education Specialist (CHES or Master CHES),Infection Control Certification (CIC),Physical Activity in Public Health Specialist (PAPHS)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
19,"Region 1","Medium","Non-supervisor","Infection Control Certification (CIC)","certified",NA,"Yes","Infection Control Certification (CIC)",NA,"Associate's degree in nursing,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
20,"Region 5","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
21,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Nurse certification (RN, LPN, NP, BSN),Registered Dietitian (RD)",NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
22,"Region 5","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"High school or equivalent,Associate's degree in nursing,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
23,"Region 5","Small","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"MSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
24,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC)","certified",NA,"Yes","Certified in Public Health (CPH),Diabetes Educator Certification (CDE)",NA,"MPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
25,"Region 5","Small","Supervisor","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","certified","DNP, FNP-C","No",NA,NA,"DNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
26,"Region 1","Frontier","Supervisor","Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","certified","ACLS","Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
27,"Region 5","Small","Executive","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified in Public Health (CPH),Other Certification (please specify)","DipACLM","MSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
28,"Region 1","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified in Public Health (CPH),Infection Control Certification (CIC)",NA,"Associate's degree in nursing,Other bachelor's degree (please specify),MEd",NA,"BS in secondary education/physics, chemistry, biology and earth science",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
29,"Region 4","Large","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
30,"Region 4","Large","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"MSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
31,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Other Certification (please specify)","Professional Hydrologist","BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
32,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
33,"Region 4","Large","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
34,"Region 4","Large","Executive","Certified in Public Health (CPH)","certified",NA,"No",NA,NA,"MPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
35,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Infection Control Certification (CIC)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
36,"Region 5","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
37,"Region 5","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Other Certification (please specify)","certified","Certified Case Manager (CCM), Certified Passenger Safety Tech, (CPST)","Yes","Certified Community Health Worker,Certified in Public Health (CPH),Infection Control Certification (CIC)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
38,"Region 4","Large","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
39,"Region 5","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Registered Dietitian (RD)","certified",NA,"No",NA,NA,"High school or equivalent,Other bachelor's degree (please specify)",NA,"Health and Human Development--Nutrition",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
40,"Region 1","Medium","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified in Public Health (CPH),Diabetes Educator Certification (CDE)",NA,"Other associate degree (please specify),BS/BA,BSN,Other bachelor's degree (please specify)","applied science","dental hygiene",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
41,"Region 5","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"BSPH/BAPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
42,"Region 1","Medium","Executive","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health,Health Education,Healthcare Management / Administration",NA,"Masters or higher","Bachelors or higher"
43,"Region 4","Large","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Health Education Specialist (CHES or Master CHES),Infection Control Certification (CIC)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
44,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Other Certification (please specify)","Other","BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
45,"Region 4","Large","Non-supervisor","Other Certification (please specify)","certified","SIT","Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
46,"Region 4","Large","Non-supervisor","Other Certification (please specify)","certified","PT","Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Diabetes Educator Certification (CDE)",NA,"BS/BA,MPH,PhD/ScD/other non-public health doctorate (please specify)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
47,"Region 4","Large","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent,BSN,MSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
48,"Region 4","Large","Executive","Other Certification (please specify)","certified","Health Coach (ACE), Leadership Coach (RIHEL), Personal Trainer (ACE)","No",NA,NA,"High school or equivalent,BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Health Education,Health Policy,Healthcare Management / Administration,Other (please specify)","Exercise Science","Masters or higher","Bachelors or higher"
49,"Region 1","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
50,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES)",NA,"MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
51,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH)",NA,"BS/BA,I am currently pursuing a degree",NA,NA,NA,"MPH",NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
52,"Region 1","Medium","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
53,"Region 1","Medium","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
54,"Region 1","Frontier","Executive","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing,Other associate degree (please specify)","AD Poly Sci/History",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
55,"Region 1","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
56,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Infection Control Certification (CIC),Other Certification (please specify)","APRN/NP","BS/BA,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
57,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker,Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","certified","CPST (certified passenger safety tech","No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
58,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH),Infection Control Certification (CIC)",NA,"MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Aging,Community / Population Health",NA,"Masters or higher","Bachelors or higher"
59,"Region 1","Medium","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
60,"Region 1","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
61,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
62,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC)","certified",NA,"No",NA,NA,"High school or equivalent,BS/BA,MA/MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
63,"Region 4","Large","Non-supervisor","Other Certification (please specify)","certified","Car Seat Tech","Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker,Certified in Public Health (CPH)",NA,"High school or equivalent,BS/BA,I am currently pursuing a degree",NA,NA,NA,"MA/MS",NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
64,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Infection Control Certification (CIC)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
65,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Infection Control Certification (CIC)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
66,"Region 1","Small","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Nurse certification (RN, LPN, NP, BSN)",NA,"Associate's degree in nursing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Associates","less than Bachelors"
67,"Region 1","Medium","Supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator",NA,"High school or equivalent,BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (please specify)","General public health","Masters or higher","Bachelors or higher"
68,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Infection Control Certification (CIC),Licensed Clinical Social Worker (LCSW)",NA,"High school or equivalent,Other bachelor's degree (please specify)",NA,"Education",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
69,"Region 4","Large","Non-supervisor","Other Certification (please specify)","certified","Licensed Divorce Mediator; Certified to teach Batterer Intervention","No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
70,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
71,"Region 5","Large","Non-supervisor","Other Certification (please specify)","certified","Professional Certified Teacher","Yes","Other Certification (please specify)","Tobacco Treatment Specialist","MEd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
72,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"High school or equivalent,BS/BA,MA/MS,Other master's degree (please specify)",NA,NA,"Non-profit Management",NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
73,"Region 5","Large","Supervisor","Nurse certification (RN, LPN, NP, BSN),Other Certification (please specify)","certified","CPHA","Yes","Other Certification (please specify)","MPH-policy","BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
74,"Region 4","Large","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Nurse certification (RN, LPN, NP, BSN)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
75,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"High school or equivalent,BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
76,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
77,"Region 4","Medium","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"No",NA,NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
78,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"Other associate degree (please specify)","Accounting",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
79,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
80,"Region 4","Large","Non-supervisor","Certified Community Health Worker","certified",NA,"Yes","Certified Community Health Worker",NA,"BS/BA,Other master's degree (please specify)",NA,NA,"writing",NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
81,"Region 4","Large","Supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified in Public Health (CPH)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Health Education",NA,"Bachelors","Bachelors or higher"
82,"Region 1","Small","Non-supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Infection Control Certification (CIC)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
83,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
84,"Region 1","Small","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified in Public Health (CPH),Infection Control Certification (CIC)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
85,"Region 1","Small","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
86,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
87,"Region 4","Large","Executive","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,Certified in Public Health (CPH),Diabetes Educator Certification (CDE),Infection Control Certification (CIC),Laboratory Certification,Licensed Clinical Social Worker (LCSW),Physical Activity in Public Health Specialist (PAPHS),Physician Assistant - Certified (PA-C),Preventive Medicine Physician Board Certification,Registered Dietitian (RD),Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS),Other Certification (please specify)","Any Technology certifications would be helpful for my role.","High school or equivalent,I am currently pursuing a degree",NA,NA,NA,"Other associate degree (please specify)","Cyber Security",NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
88,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker,Other Certification (please specify)","certified","CERTIFIED ASTHMA EDUCATOR","No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
89,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
90,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
91,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES)",NA,"I am currently pursuing a degree",NA,NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"less than Bachelors"
92,"Region 4","Large","Non-supervisor","Certified Community Health Worker","certified",NA,"Yes","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH)",NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
93,"Region 1","Medium","Non-supervisor","Other Certification (please specify)","certified","Certified Car Seat Technician","No",NA,NA,"Other bachelor's degree (please specify)",NA,"BS in Education",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
