topic,engage_imp,engage_skill
value_CHA,Not Important,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Expert
value_CHA,Very important,Beginner
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Not Important,NA
value_CHA,Somewhat important,NA
value_CHA,Very important,Expert
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,Not Important,NA
value_CHA,Very important,Beginner
value_CHA,Not Important,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Not Important,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Very important,Beginner
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,Very important,Expert
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Not Important,NA
value_CHA,Very important,Expert
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Not Important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Expert
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,Very important,Expert
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Expert
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,Very important,Proficient
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Expert
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Expert
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,Moderately important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Not Important,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Not Important,NA
apply_CHA,Very important,Proficient
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Not Important,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Expert
apply_CHA,Not Important,NA
apply_CHA,Moderately important,Beginner
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Expert
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,Very important,Proficient
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Beginner
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Beginner
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Somewhat important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Beginner
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Expert
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,Moderately important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Very important,Proficient
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,Not Important,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
apply_CHA,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,Very important,Expert
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,Very important,Proficient
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,Very important,Proficient
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,Very important,Expert
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,Moderately important,Proficient
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
ensure_collab,Not Important,NA
ensure_collab,NA,NA
ensure_collab,NA,NA
