section,skill_cat,question_id,question_text
SecH,Cross-Sectional Partnerships,SecH1,"Engage community assets and resources (e.g., Boys & Girls Clubs, public libraries, hospitals, faith-based organizations, academic institutions, federal grants, fellowship programs) to improve health in a community"
SecH,Cross-Sectional Partnerships,SecH2,"Identify and engage assets and resources (e.g., Boys & Girls Clubs, public libraries, hospitals, faith-based organizations, academic institutions, federal grants, fellowship programs) that can be used to improve health in a community"
SecH,Cross-Sectional Partnerships,SecH3,"Negotiate with multiple partners for the use of assets and resources (e.g., Boys & Girls Clubs, public libraries, hospitals, faith-based organizations, academic institutions, federal grants, fellowship programs) to improve health in a community"
SecH,Cross-Sectional Partnerships,SecH4,Collaborate with public health personnel across the agency to improve the health of the community
SecH,Cross-Sectional Partnerships,SecH5,"Engage in collaborations within the public health system, including traditional and non-traditional partners, to improve the health of a community."
SecH,Cross-Sectional Partnerships,SecH6,Build collaborations within the public health system among traditional and non-traditional partners to improve the health of a community
SecI,Policy Engagement,SecI1,Describe the relationship between a policy and many types of public health problems.
SecI,Policy Engagement,SecI2,"Examine the feasibility (e.g., fiscal, social, political, legal, geographic) of a policy and its relationship to many types of public health problems"
SecI,Policy Engagement,SecI3,"Determine the feasibility (e.g., fiscal, social, political, legal, geographic) of a policy and its relationship to many types of public health problems."
SecI,Policy Engagement,SecI4,"Collect and summarize information to inform the development of policies external to the organization that affect the health of the community (e.g., transportation routes, earned sick leave, tobacco 21, affordable housing/inclusionary zoning, complete streets, healthy food procurement)"
SecI,Policy Engagement,SecI5,"Identify and assess options for policies external to the organization that affect the health of the community (e.g., transportation routes, earned sick leave, tobacco 21, affordable housing/inclusionary zoning, complete streets, healthy food procurement)"
SecI,Policy Engagement,SecI6,"Prioritize and influence policies external to the organization that affect the health of the community (e.g., transportation routes, earned sick leave, tobacco 21, affordable housing/inclusionary zoning, complete streets, healthy food procurement"
SecJ,Programmatic Expertise,SecJ1,Content knowledge specific to my programmatic area
SecJ,Programmatic Expertise,SecJ2,Technical skills specific to my programmatic area
