respondent_id,lhj_code,region,size,agency,supervisor_status,domain,topic,imp_rank,skill_rank,section
_041,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_042,TDK,Region 1,Medium,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_043,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_044,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_045,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_046,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_047,HPF,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_048,HPF,Region 4,Large,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_049,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_050,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_051,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_052,TDK,Region 1,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_053,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_054,GMU,Region 1,Frontier,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_055,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_056,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_057,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_058,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_059,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_060,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_061,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Beginner,SecA
_062,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_063,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_064,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_065,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_066,QGZ,Region 1,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_067,TDK,Region 1,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_068,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_069,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Expert,SecA
_070,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_071,WBW,Region 5,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_072,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_073,WBW,Region 5,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_074,PQS,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_075,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_076,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Beginner,SecA
_077,PRF,Region 4,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_078,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_079,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_080,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_081,PQS,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_082,KRO,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_083,KRO,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_084,KRO,Region 1,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_085,JMO,Region 1,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_086,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_087,HPF,Region 4,Large,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_088,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_089,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_090,KRO,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_091,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_092,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_093,SMA,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_094,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_095,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_096,SMA,Region 1,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_097,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_098,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_099,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_100,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_101,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_102,KRO,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_103,NCJ,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_104,NCJ,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_105,NCJ,Region 2,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_106,NCJ,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_107,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_108,CYQ,Region 5,Small,Tribal Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_109,STW,Region 5,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_110,NDQ,Region 3,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_111,NDQ,Region 3,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_112,NCJ,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_113,TDK,Region 1,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_114,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_115,NDQ,Region 3,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_116,NDQ,Region 3,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_117,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_118,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_119,KRO,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_120,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_121,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_122,ZGF,Region 4,Frontier,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_123,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_124,ZGF,Region 4,Frontier,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_125,RIP,Region 4,Frontier,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_126,FHK,Region 1,Frontier,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_127,PRF,Region 4,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_128,NCJ,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_129,WBE,Region 1,Frontier,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_130,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_131,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_132,KNN,Region 1,Frontier,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_133,CYQ,Region 5,Small,Tribal Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_134,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_135,PRF,Region 4,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_136,JZC,Region 3,Frontier,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_137,YKE,Region 2,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_138,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_139,NCJ,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_140,LQD,Region 4,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_141,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_142,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_143,PQS,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_144,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_145,HVJ,Region 3,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_146,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_147,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_148,INE,Region 5,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_149,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_150,INE,Region 5,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_151,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_152,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_153,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_154,EUP,Region 2,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_155,TDK,Region 1,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_156,PRF,Region 4,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_157,KNA,Region 5,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_158,WBW,Region 5,Large,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_159,RZY,Region 5,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_160,PRF,Region 4,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_161,DDI,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_162,CKZ,Region 5,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_163,YLZ,Region 4,Medium,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_164,WBW,Region 5,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_165,PRF,Region 4,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_166,ZKQ,Region 2,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_167,DDI,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_168,DDI,Region 1,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_169,ACX,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_170,VKQ,Region 2,Frontier,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_171,ACX,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_172,ACX,Region 2,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_173,YNM,Region 3,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_174,YKE,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_175,YKE,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_176,JSO,Region 3,Large,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_177,EUP,Region 2,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_178,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_179,ACX,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_180,YKE,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_181,DDI,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_182,HVJ,Region 3,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_183,DDI,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_184,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_185,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_186,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_187,ZAP,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_188,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_189,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_190,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_191,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_192,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_193,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_194,XHF,Region 2,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_195,EUP,Region 2,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Beginner,SecA
_196,XHF,Region 2,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_197,XHF,Region 2,Small,Tribal Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_198,XHF,Region 2,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_199,XHF,Region 2,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_200,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_201,YLZ,Region 4,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_202,GMU,Region 1,Frontier,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_203,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_204,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_205,GMU,Region 1,Frontier,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_206,XHF,Region 2,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_207,XHF,Region 2,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_208,JSO,Region 3,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_209,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_210,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_211,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_212,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_213,HPF,Region 4,Large,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_214,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_215,JMO,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_216,JMO,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_217,JMO,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_218,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_219,YOH,Region 1,Frontier,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_220,LVI,Region 4,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_221,LVI,Region 4,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_222,ZAP,Region 4,Large,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_223,LVI,Region 4,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_224,IWH,Region 5,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_225,DDI,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_226,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_227,IWH,Region 5,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_228,IWH,Region 5,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_229,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_230,IWH,Region 5,Small,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_231,IWH,Region 5,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_232,IWH,Region 5,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_233,IWH,Region 5,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_234,LVI,Region 4,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_235,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_236,DDI,Region 1,Medium,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_237,XHF,Region 2,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_238,ZAP,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_239,ZAP,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_240,OXR,Region 2,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_241,OXR,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_242,OXR,Region 2,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_243,IAB,Region 4,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_244,GMU,Region 1,Frontier,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_245,IWH,Region 5,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_246,IWH,Region 5,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_247,JSO,Region 3,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_248,JSO,Region 3,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_249,JSO,Region 3,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_250,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_251,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_252,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_253,JSO,Region 3,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_254,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_255,JSO,Region 3,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_256,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_257,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_258,ZAP,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_259,HPF,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Beginner,SecA
_260,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_261,JSO,Region 3,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_262,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_263,WGN,Region 3,Small,Tribal Health Department,Executive,comm,comm_target,NA,NA,SecA
_264,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_265,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_266,JSO,Region 3,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_267,ZKQ,Region 2,Medium,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_268,JSO,Region 3,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_269,ZKQ,Region 2,Medium,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Beginner,SecA
_270,YNM,Region 3,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_271,SMA,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_272,VUP,Region 4,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_273,EUP,Region 2,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_274,LVI,Region 4,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_275,ZKQ,Region 2,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_276,SMA,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_277,VUP,Region 4,Small,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_278,SMA,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_279,HVJ,Region 3,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_280,EUP,Region 2,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
