"domain","supervisor_status","section","question_id","topic","imp_recat","skill_recat","skill_n","imp_n","imp_prop","skill_prop","priority_score","domain_cat","skill_cat","question_text"
"systems","Supervisor","SecF","SecF10","implement_strategic_plan","Moderately/Very Important","Unable to Perform/Beginner",34,81,82.6530612244898,41.9753086419753,34.6938775510204,"budget, change, policy, systems","Systems & Strategic Thinking","Implement an organizational strategic plan"
"systems","Supervisor","SecF","SecF7","apply_QI_program_improv","Moderately/Very Important","Unable to Perform/Beginner",33,78,79.5918367346939,42.3076923076923,33.6734693877551,"budget, change, policy, systems","Systems & Strategic Thinking","Apply quality improvement processes (e.g., Plan-Do-Check-Act, SWOT analysis, fishbone, lean, kaizen, etc.) to improve agency programs and services"
"engage","Supervisor","SecG","SecG8","assess","Moderately/Very Important","Unable to Perform/Beginner",32,83,84.6938775510204,38.5542168674699,32.6530612244898,"partners, engage","Community Engagement","Assess how agency policies, programs, and services advance population health"
"systems","Supervisor","SecF","SecF14","expertise_statutes","Moderately/Very Important","Unable to Perform/Beginner",30,84,85.7142857142857,35.7142857142857,30.6122448979592,"budget, change, policy, systems","Systems & Strategic Thinking","Demonstrates the expertise and knowledge necessary to effectively interpret and apply public health statutes in interactions with governing bodies or boards of health, using clear communication strategies to inform decision-making, ensure statutory compliance, and build public trust."
"engage","Supervisor","SecG","SecG5","engage_program","Moderately/Very Important","Unable to Perform/Beginner",29,80,81.6326530612245,36.25,29.5918367346939,"partners, engage","Community Engagement","Engage community members in the design and implementation of programs to improve health in a community"
"justice","Supervisor","SecC","SecC5","incorporate_DEI_programs","Moderately/Very Important","Unable to Perform/Beginner",25,81,82.6530612244898,30.8641975308642,25.5102040816327,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Incorporate health equity and social justice principles into planning for programs and services (e.g., include health equity in a strategic plan, promote health-in-all-policies, engage marginalized and under-resourced communities in decision making)"
"justice","Supervisor","SecC","SecC8","implement_appropriate","Moderately/Very Important","Unable to Perform/Beginner",23,80,81.6326530612245,28.75,23.469387755102,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Implement socially, culturally, and linguistically appropriate policies, programs, and services that reflect the diversity of individuals and populations in a community"
"partners","Supervisor","SecH","SecH5","engage_collab_system","Moderately/Very Important","Unable to Perform/Beginner",23,84,85.7142857142857,27.3809523809524,23.469387755102,"partners, engage","Cross-Sectional Partnerships","Engage in collaborations within the public health system, including traditional and non-traditional partners, to improve the health of a community."
"data","Supervisor","SecB","SecB1","id_sources","Moderately/Very Important","Unable to Perform/Beginner",22,85,86.734693877551,25.8823529411765,22.4489795918367,"comm, data, expert","Data-based decision making","Identify appropriate sources of data and information to assess the health of a community (e.g. MT DPHHS reports, CDC reports, Headwaters Economic Reports, Community Health Survey data, and American Community Survey data)"
"partners","Supervisor","SecH","SecH2","identify_engage_assets","Moderately/Very Important","Unable to Perform/Beginner",21,77,78.5714285714286,27.2727272727273,21.4285714285714,"partners, engage","Cross-Sectional Partnerships","Identify and engage assets and resources (e.g., Boys & Girls Clubs, public libraries, hospitals, faith-based organizations, academic institutions, federal grants, fellowship programs) that can be used to improve health in a community"
"systems","Supervisor","SecF","SecF4","build_partn_SDOH","Moderately/Very Important","Unable to Perform/Beginner",19,82,83.6734693877551,23.1707317073171,19.3877551020408,"budget, change, policy, systems","Systems & Strategic Thinking","Build cross-sector partnerships (e.g., agencies or organizations supporting transportation, housing, education, and law enforcement) to address social determinants of health"
"data","Supervisor","SecB","SecB4","use_decision","Moderately/Very Important","Unable to Perform/Beginner",18,87,88.7755102040816,20.6896551724138,18.3673469387755,"comm, data, expert","Data-based decision making","Use valid data to drive decision making"
"justice","Supervisor","SecC","SecC2","support_dev_diversity","Moderately/Very Important","Unable to Perform/Beginner",18,74,75.5102040816327,24.3243243243243,18.3673469387755,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Support development of a diverse public health workforce (e.g., diverse in terms of race, ethnicity, gender, age, sexual orientation)"
"engage","Supervisor","SecG","SecG2","apply_CHA","Moderately/Very Important","Unable to Perform/Beginner",18,78,79.5918367346939,23.0769230769231,18.3673469387755,"partners, engage","Community Engagement","Apply findings from a community health assessment or community health improvement plan to agency programs and services"
"expert","Supervisor","SecJ","SecJ2","tech_skills","Moderately/Very Important","Unable to Perform/Beginner",18,95,96.9387755102041,18.9473684210526,18.3673469387755,"comm, data, expert","Programmatic Expertise","Technical skills specific to my programmatic area"
"comm","Supervisor","SecA","SecA3","comm_persuade","Moderately/Very Important","Unable to Perform/Beginner",17,93,94.8979591836735,18.2795698924731,17.3469387755102,"comm, data, expert","Effective communication","Communicate in a way that persuades others to act"
"data","Supervisor","SecB","SecB6","apply_EBA","Moderately/Very Important","Unable to Perform/Beginner",17,91,92.8571428571429,18.6813186813187,17.3469387755102,"comm, data, expert","Data-based decision making","Apply evidence-based approaches to address public health issues"
"expert","Supervisor","SecJ","SecJ1","content_knowl","Moderately/Very Important","Unable to Perform/Beginner",16,95,96.9387755102041,16.8421052631579,16.3265306122449,"comm, data, expert","Programmatic Expertise","Content knowledge specific to my programmatic area"
"comm","Supervisor","SecA","SecA2","comm_understand","Moderately/Very Important","Unable to Perform/Beginner",8,92,93.8775510204082,8.69565217391304,8.16326530612245,"comm, data, expert","Effective communication","Communicate in a way that different audiences (e.g., the public, community organizations, external partners, the scientific community, etc.) can understand"
