"domain","supervisor_status","section","question_id","topic","imp_recat","skill_recat","skill_n","imp_n","imp_prop","skill_prop","priority_score","domain_cat","skill_cat","question_text"
"engage","Non-supervisor","SecG","SecG1","value_CHA","Moderately/Very Important","Unable to Perform/Beginner",69,214,65.4434250764526,32.2429906542056,21.1009174311927,"partners, engage","Community Engagement","Describe the value of community strategic planning that results in a community health assessment or community health improvement plan"
"data","Non-supervisor","SecB","SecB5","id_EBA","Moderately/Very Important","Unable to Perform/Beginner",68,264,80.7339449541284,25.7575757575758,20.7951070336391,"comm, data, expert","Data-based decision making","Identify evidence-based approaches to address public health issues"
"systems","Non-supervisor","SecF","SecF9","desc_strategic_priorities","Moderately/Very Important","Unable to Perform/Beginner",67,250,76.4525993883792,26.8,20.4892966360856,"budget, change, policy, systems","Systems & Strategic Thinking","Describe your agency’s strategic priorities, mission, and vision"
"partners","Non-supervisor","SecH","SecH4","collab_across_agency","Moderately/Very Important","Unable to Perform/Beginner",66,279,85.3211009174312,23.6559139784946,20.1834862385321,"partners, engage","Cross-Sectional Partnerships","Collaborate with public health personnel across the agency to improve the health of the community"
"partners","Non-supervisor","SecH","SecH1","egage_asset_resources","Moderately/Very Important","Unable to Perform/Beginner",61,254,77.6758409785933,24.0157480314961,18.6544342507645,"partners, engage","Cross-Sectional Partnerships","Engage community assets and resources (e.g., Boys & Girls Clubs, public libraries, hospitals, faith-based organizations, academic institutions, federal grants, fellowship programs) to improve health in a community"
"data","Non-supervisor","SecB","SecB3","collect_valid","Moderately/Very Important","Unable to Perform/Beginner",60,256,78.2874617737003,23.4375,18.348623853211,"comm, data, expert","Data-based decision making","Collect valid data for use in decision making"
"comm","Non-supervisor","SecA","SecA3","comm_persuade","Moderately/Very Important","Unable to Perform/Beginner",57,287,87.7675840978593,19.8606271777003,17.4311926605505,"comm, data, expert","Effective communication","Communicate in a way that persuades others to act"
"data","Non-supervisor","SecB","SecB1","id_sources","Moderately/Very Important","Unable to Perform/Beginner",52,233,71.2538226299694,22.3175965665236,15.9021406727829,"comm, data, expert","Data-based decision making","Identify appropriate sources of data and information to assess the health of a community (e.g. MT DPHHS reports, CDC reports, Headwaters Economic Reports, Community Health Survey data, and American Community Survey data)"
"justice","Non-supervisor","SecC","SecC7","deliver_appropriate","Moderately/Very Important","Unable to Perform/Beginner",52,286,87.4617737003058,18.1818181818182,15.9021406727829,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Deliver socially, culturally, and linguistically appropriate programs and customer service"
"expert","Non-supervisor","SecJ","SecJ2","tech_skills","Moderately/Very Important","Unable to Perform/Beginner",51,298,91.131498470948,17.1140939597315,15.5963302752294,"comm, data, expert","Programmatic Expertise","Technical skills specific to my programmatic area"
"comm","Non-supervisor","SecA","SecA1","comm_target","Moderately/Very Important","Unable to Perform/Beginner",51,294,89.9082568807339,17.3469387755102,15.5963302752294,"comm, data, expert","Effective communication","Effectively target communications to different audiences (e.g., the public, community organizations, external partners, the scientific community, etc.)"
"justice","Non-supervisor","SecC","SecC4","support_DEI_planning","Moderately/Very Important","Unable to Perform/Beginner",50,270,82.5688073394495,18.5185185185185,15.2905198776758,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Support inclusion of health equity and social justice principles into planning for program and service delivery (e.g., include health equity in a strategic plan, promote health-in-all-policies, engage marginalized and under-resourced communities in decision making)"
"systems","Non-supervisor","SecF","SecF3","desc_imp_SDOH","Moderately/Very Important","Unable to Perform/Beginner",49,269,82.262996941896,18.2156133828996,14.9847094801223,"budget, change, policy, systems","Systems & Strategic Thinking","Describe how social determinants of health impact the health of individuals, families, and the overall community"
"engage","Non-supervisor","SecG","SecG7","desc_role","Moderately/Very Important","Unable to Perform/Beginner",49,274,83.7920489296636,17.8832116788321,14.9847094801223,"partners, engage","Community Engagement","Describe your role in improving the health of the community served by the agency"
"expert","Non-supervisor","SecJ","SecJ1","content_knowl","Moderately/Very Important","Unable to Perform/Beginner",46,301,92.0489296636086,15.2823920265781,14.0672782874618,"comm, data, expert","Programmatic Expertise","Content knowledge specific to my programmatic area"
"justice","Non-supervisor","SecC","SecC1","desc_val_diversity","Moderately/Very Important","Unable to Perform/Beginner",32,241,73.7003058103976,13.2780082987552,9.78593272171254,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Describe the value of a diverse public health workforce (e.g., diverse in terms of race, ethnicity, gender, age, sexual orientation)"
"budget","Supervisor","SecD","SecD5","id_funding_programs","Moderately/Very Important","Unable to Perform/Beginner",46,84,85.7142857142857,54.7619047619048,46.9387755102041,"budget, change, policy, systems","Budget & Financial Management","Identify funding mechanisms and procedures to develop sustainable funding models for programs and services (e.g., categorical grants, state general funds, fees, third-party reimbursement, tobacco taxes, value-based purchasing, budget approval process)"
"budget","Supervisor","SecD","SecD8","imp_bus_plan","Moderately/Very Important","Unable to Perform/Beginner",44,74,75.5102040816327,59.4594594594595,44.8979591836735,"budget, change, policy, systems","Budget & Financial Management","Implement a business plan for agency programs and services (e.g., tool for analyzing and planning for a product or service that will meet a community need, will generate revenue, and be sustainable)"
"policy","Supervisor","SecI","SecI5","id_assess_opts","Moderately/Very Important","Unable to Perform/Beginner",44,74,75.5102040816327,59.4594594594595,44.8979591836735,"budget, change, policy, systems","Policy Engagement","Identify and assess options for policies external to the organization that affect the health of the community (e.g., transportation routes, earned sick leave, tobacco 21, affordable housing/inclusionary zoning, complete streets, healthy food procurement)"
"policy","Supervisor","SecI","SecI2","exam_feasible","Moderately/Very Important","Unable to Perform/Beginner",42,75,76.530612244898,56,42.8571428571429,"budget, change, policy, systems","Policy Engagement","Examine the feasibility (e.g., fiscal, social, political, legal, geographic) of a policy and its relationship to many types of public health problems"
"systems","Supervisor","SecF","SecF1","integ_trends_programs","Moderately/Very Important","Unable to Perform/Beginner",39,82,83.6734693877551,47.5609756097561,39.7959183673469,"budget, change, policy, systems","Systems & Strategic Thinking","Integrate current and projected trends (e.g., physical, political, social, fiscal, etc.) into strategic planning for programs and services"
"systems","Supervisor","SecF","SecF13","comm_staff_FPHS","Moderately/Very Important","Unable to Perform/Beginner",39,77,78.5714285714286,50.6493506493507,39.7959183673469,"budget, change, policy, systems","Systems & Strategic Thinking","Effectively communicates how staff work aligns with the Foundational Public Health Services (FPHS) and the broader public health system, and actively encourages staff to integrate and align their efforts with these foundational areas and capabilities."
"budget","Supervisor","SecD","SecD10","bill_accurate","Moderately/Very Important","Unable to Perform/Beginner",38,79,80.6122448979592,48.1012658227848,38.7755102040816,"budget, change, policy, systems","Budget & Financial Management","Demonstrates the ability to bill for public health services accurately and effectively, while understanding and utilizing revenue generation sources to support and sustain departmental operations."
"change","Supervisor","SecE","SecE2","modify_practices","Moderately/Very Important","Unable to Perform/Beginner",37,81,82.6530612244898,45.679012345679,37.7551020408163,"budget, change, policy, systems","Change Management","Modify programmatic practices in consideration of internal and external changes (e.g., social, political, economic, scientific)"
"change","Supervisor","SecE","SecE5","assess_envir_factors_programs","Moderately/Very Important","Unable to Perform/Beginner",37,87,88.7755102040816,42.5287356321839,37.7551020408163,"budget, change, policy, systems","Change Management","Assess the drivers in your environment (e.g., physical, political, social, fiscal, etc.) that may influence public health programs and services"
"budget","Supervisor","SecD","SecD2","use_methods_programs","Moderately/Very Important","Unable to Perform/Beginner",36,81,82.6530612244898,44.4444444444444,36.734693877551,"budget, change, policy, systems","Budget & Financial Management","Use financial analysis methods in managing programs and services"
"systems","Supervisor","SecF","SecF10","implement_strategic_plan","Moderately/Very Important","Unable to Perform/Beginner",34,81,82.6530612244898,41.9753086419753,34.6938775510204,"budget, change, policy, systems","Systems & Strategic Thinking","Implement an organizational strategic plan"
"systems","Supervisor","SecF","SecF7","apply_QI_program_improv","Moderately/Very Important","Unable to Perform/Beginner",33,78,79.5918367346939,42.3076923076923,33.6734693877551,"budget, change, policy, systems","Systems & Strategic Thinking","Apply quality improvement processes (e.g., Plan-Do-Check-Act, SWOT analysis, fishbone, lean, kaizen, etc.) to improve agency programs and services"
"engage","Supervisor","SecG","SecG8","assess","Moderately/Very Important","Unable to Perform/Beginner",32,83,84.6938775510204,38.5542168674699,32.6530612244898,"partners, engage","Community Engagement","Assess how agency policies, programs, and services advance population health"
"systems","Supervisor","SecF","SecF14","expertise_statutes","Moderately/Very Important","Unable to Perform/Beginner",30,84,85.7142857142857,35.7142857142857,30.6122448979592,"budget, change, policy, systems","Systems & Strategic Thinking","Demonstrates the expertise and knowledge necessary to effectively interpret and apply public health statutes in interactions with governing bodies or boards of health, using clear communication strategies to inform decision-making, ensure statutory compliance, and build public trust."
"engage","Supervisor","SecG","SecG5","engage_program","Moderately/Very Important","Unable to Perform/Beginner",29,80,81.6326530612245,36.25,29.5918367346939,"partners, engage","Community Engagement","Engage community members in the design and implementation of programs to improve health in a community"
"justice","Supervisor","SecC","SecC5","incorporate_DEI_programs","Moderately/Very Important","Unable to Perform/Beginner",25,81,82.6530612244898,30.8641975308642,25.5102040816327,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Incorporate health equity and social justice principles into planning for programs and services (e.g., include health equity in a strategic plan, promote health-in-all-policies, engage marginalized and under-resourced communities in decision making)"
"justice","Supervisor","SecC","SecC8","implement_appropriate","Moderately/Very Important","Unable to Perform/Beginner",23,80,81.6326530612245,28.75,23.469387755102,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Implement socially, culturally, and linguistically appropriate policies, programs, and services that reflect the diversity of individuals and populations in a community"
"partners","Supervisor","SecH","SecH5","engage_collab_system","Moderately/Very Important","Unable to Perform/Beginner",23,84,85.7142857142857,27.3809523809524,23.469387755102,"partners, engage","Cross-Sectional Partnerships","Engage in collaborations within the public health system, including traditional and non-traditional partners, to improve the health of a community."
"data","Supervisor","SecB","SecB1","id_sources","Moderately/Very Important","Unable to Perform/Beginner",22,85,86.734693877551,25.8823529411765,22.4489795918367,"comm, data, expert","Data-based decision making","Identify appropriate sources of data and information to assess the health of a community (e.g. MT DPHHS reports, CDC reports, Headwaters Economic Reports, Community Health Survey data, and American Community Survey data)"
"partners","Supervisor","SecH","SecH2","identify_engage_assets","Moderately/Very Important","Unable to Perform/Beginner",21,77,78.5714285714286,27.2727272727273,21.4285714285714,"partners, engage","Cross-Sectional Partnerships","Identify and engage assets and resources (e.g., Boys & Girls Clubs, public libraries, hospitals, faith-based organizations, academic institutions, federal grants, fellowship programs) that can be used to improve health in a community"
"systems","Supervisor","SecF","SecF4","build_partn_SDOH","Moderately/Very Important","Unable to Perform/Beginner",19,82,83.6734693877551,23.1707317073171,19.3877551020408,"budget, change, policy, systems","Systems & Strategic Thinking","Build cross-sector partnerships (e.g., agencies or organizations supporting transportation, housing, education, and law enforcement) to address social determinants of health"
"data","Supervisor","SecB","SecB4","use_decision","Moderately/Very Important","Unable to Perform/Beginner",18,87,88.7755102040816,20.6896551724138,18.3673469387755,"comm, data, expert","Data-based decision making","Use valid data to drive decision making"
"justice","Supervisor","SecC","SecC2","support_dev_diversity","Moderately/Very Important","Unable to Perform/Beginner",18,74,75.5102040816327,24.3243243243243,18.3673469387755,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Support development of a diverse public health workforce (e.g., diverse in terms of race, ethnicity, gender, age, sexual orientation)"
"engage","Supervisor","SecG","SecG2","apply_CHA","Moderately/Very Important","Unable to Perform/Beginner",18,78,79.5918367346939,23.0769230769231,18.3673469387755,"partners, engage","Community Engagement","Apply findings from a community health assessment or community health improvement plan to agency programs and services"
"expert","Supervisor","SecJ","SecJ2","tech_skills","Moderately/Very Important","Unable to Perform/Beginner",18,95,96.9387755102041,18.9473684210526,18.3673469387755,"comm, data, expert","Programmatic Expertise","Technical skills specific to my programmatic area"
"comm","Supervisor","SecA","SecA3","comm_persuade","Moderately/Very Important","Unable to Perform/Beginner",17,93,94.8979591836735,18.2795698924731,17.3469387755102,"comm, data, expert","Effective communication","Communicate in a way that persuades others to act"
"data","Supervisor","SecB","SecB6","apply_EBA","Moderately/Very Important","Unable to Perform/Beginner",17,91,92.8571428571429,18.6813186813187,17.3469387755102,"comm, data, expert","Data-based decision making","Apply evidence-based approaches to address public health issues"
"expert","Supervisor","SecJ","SecJ1","content_knowl","Moderately/Very Important","Unable to Perform/Beginner",16,95,96.9387755102041,16.8421052631579,16.3265306122449,"comm, data, expert","Programmatic Expertise","Content knowledge specific to my programmatic area"
"comm","Supervisor","SecA","SecA2","comm_understand","Moderately/Very Important","Unable to Perform/Beginner",8,92,93.8775510204082,8.69565217391304,8.16326530612245,"comm, data, expert","Effective communication","Communicate in a way that different audiences (e.g., the public, community organizations, external partners, the scientific community, etc.) can understand"
"budget","Executive","SecD","SecD10","bill_accurate","Moderately/Very Important","Unable to Perform/Beginner",8,18,78.2608695652174,44.4444444444444,34.7826086956522,"budget, change, policy, systems","Budget & Financial Management","Demonstrates the ability to bill for public health services accurately and effectively, while understanding and utilizing revenue generation sources to support and sustain departmental operations."
"budget","Executive","SecD","SecD9","design_bus_plan","Moderately/Very Important","Unable to Perform/Beginner",8,19,82.6086956521739,42.1052631578947,34.7826086956522,"budget, change, policy, systems","Budget & Financial Management","Design a business plan for the agency (e.g., tool for analyzing and planning for a product or service that will meet a community need, will generate revenue, and be sustainable)"
"budget","Executive","SecD","SecD6","leverage_funding","Moderately/Very Important","Unable to Perform/Beginner",7,21,91.304347826087,33.3333333333333,30.4347826086957,"budget, change, policy, systems","Budget & Financial Management","Leverage funding mechanisms and procedures to develop sustainable funding models for the agency (e.g., categorical grants, state general funds, fees, third-party reimbursement, tobacco taxes, value-based purchasing, budget approval process)"
"policy","Executive","SecI","SecI6","prior_influ","Moderately/Very Important","Unable to Perform/Beginner",7,19,82.6086956521739,36.8421052631579,30.4347826086956,"budget, change, policy, systems","Policy Engagement","Prioritize and influence policies external to the organization that affect the health of the community (e.g., transportation routes, earned sick leave, tobacco 21, affordable housing/inclusionary zoning, complete streets, healthy food procurement"
"justice","Executive","SecC","SecC9","ensure_implement_appropriate","Moderately/Very Important","Unable to Perform/Beginner",6,22,95.6521739130435,27.2727272727273,26.0869565217391,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Ensure the implementation of socially, culturally, and linguistically appropriate policies, programs, and services that reflect the diversity of individuals and populations in a community"
"systems","Executive","SecF","SecF11","ensure_implement_plan","Moderately/Very Important","Unable to Perform/Beginner",6,20,86.9565217391304,30,26.0869565217391,"budget, change, policy, systems","Systems & Strategic Thinking","Ensure the successful implementation of an organizational strategic plan"
"systems","Executive","SecF","SecF5","infl_policy_SDOH","Moderately/Very Important","Unable to Perform/Beginner",6,18,78.2608695652174,33.3333333333333,26.0869565217391,"budget, change, policy, systems","Systems & Strategic Thinking","Influence policies external to the organization that address social determinants of health (e.g., zoning, transportation routes, etc.)"
"policy","Executive","SecI","SecI3","determin_feasible","Moderately/Very Important","Unable to Perform/Beginner",6,21,91.304347826087,28.5714285714286,26.0869565217391,"budget, change, policy, systems","Policy Engagement","Determine the feasibility (e.g., fiscal, social, political, legal, geographic) of a policy and its relationship to many types of public health problems."
"systems","Executive","SecF","SecF2","integ_trends_org_plan","Moderately/Very Important","Unable to Perform/Beginner",6,19,82.6086956521739,31.5789473684211,26.0869565217391,"budget, change, policy, systems","Systems & Strategic Thinking","Integrate current and projected trends (e.g., physical, political, social, fiscal, etc.) into organizational strategic planning"
"justice","Executive","SecC","SecC6","incorporate_DEI_agency","Moderately/Very Important","Unable to Perform/Beginner",5,21,91.304347826087,23.8095238095238,21.7391304347826,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Incorporate health equity and social justice principles into planning across the agency (e.g., include health equity in a strategic plan, promote health-in-all-policies, engage marginalized and under-resourced communities in decision making)"
"budget","Executive","SecD","SecD3","use_methods_agency","Moderately/Very Important","Unable to Perform/Beginner",5,21,91.304347826087,23.8095238095238,21.7391304347826,"budget, change, policy, systems","Budget & Financial Management","Use financial analysis methods in making decisions about programs and services across the agency"
"change","Executive","SecE","SecE6","assess_envir_factors_programs_agency","Moderately/Very Important","Unable to Perform/Beginner",5,21,91.304347826087,23.8095238095238,21.7391304347826,"budget, change, policy, systems","Change Management","Assess the drivers in your environment (e.g., physical, political, social, fiscal, etc.) that may influence public health programs and services across the agency"
"systems","Executive","SecF","SecF13","comm_staff_FPHS","Moderately/Very Important","Unable to Perform/Beginner",5,18,78.2608695652174,27.7777777777778,21.7391304347826,"budget, change, policy, systems","Systems & Strategic Thinking","Effectively communicates how staff work aligns with the Foundational Public Health Services (FPHS) and the broader public health system, and actively encourages staff to integrate and align their efforts with these foundational areas and capabilities."
"engage","Executive","SecG","SecG6","ensure_engage","Moderately/Very Important","Unable to Perform/Beginner",5,20,86.9565217391304,25,21.7391304347826,"partners, engage","Community Engagement","Ensure community member engagement in the design and implementation of programs to improve health in a community"
"engage","Executive","SecG","SecG9","advocate","Moderately/Very Important","Unable to Perform/Beginner",5,21,91.304347826087,23.8095238095238,21.7391304347826,"partners, engage","Community Engagement","Advocate for needed population health services and programs"
"change","Executive","SecE","SecE3","manage_org_change","Moderately/Very Important","Unable to Perform/Beginner",4,22,95.6521739130435,18.1818181818182,17.3913043478261,"budget, change, policy, systems","Change Management","Manage organizational change in response to evolving internal and external circumstances (e.g., social, political, economic, scientific)"
"justice","Executive","SecC","SecC3","develop_diversity","Moderately/Very Important","Unable to Perform/Beginner",4,21,91.304347826087,19.047619047619,17.3913043478261,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Develop a diverse public health workforce (e.g., diverse in terms of race, ethnicity, gender, age, sexual orientation)"
"systems","Executive","SecF","SecF14","expertise_statutes","Moderately/Very Important","Unable to Perform/Beginner",4,20,86.9565217391304,20,17.3913043478261,"budget, change, policy, systems","Systems & Strategic Thinking","Demonstrates the expertise and knowledge necessary to effectively interpret and apply public health statutes in interactions with governing bodies or boards of health, using clear communication strategies to inform decision-making, ensure statutory compliance, and build public trust."
"systems","Executive","SecF","SecF8","create_QI_culture_agency","Moderately/Very Important","Unable to Perform/Beginner",4,21,91.304347826087,19.047619047619,17.3913043478261,"budget, change, policy, systems","Systems & Strategic Thinking","Create a culture of quality improvement (e.g., an integrative process that links knowledge, structures, processes, and outcomes to enhance quality throughout an organization) at the agency or division level"
"engage","Executive","SecG","SecG3","ensure_collab","Moderately/Very Important","Unable to Perform/Beginner",3,20,86.9565217391304,15,13.0434782608696,"partners, engage","Community Engagement","Ensure health department representation in a collaborative process resulting in a community health assessment or community health improvement plan"
"comm","Executive","SecA","SecA2","comm_understand","Moderately/Very Important","Unable to Perform/Beginner",2,22,95.6521739130435,9.09090909090909,8.69565217391304,"comm, data, expert","Effective communication","Communicate in a way that different audiences (e.g., the public, community organizations, external partners, the scientific community, etc.) can understand"
"data","Executive","SecB","SecB4","use_decision","Moderately/Very Important","Unable to Perform/Beginner",2,22,95.6521739130435,9.09090909090909,8.69565217391304,"comm, data, expert","Data-based decision making","Use valid data to drive decision making"
"data","Executive","SecB","SecB7","ensure_app_EBA","Moderately/Very Important","Unable to Perform/Beginner",2,21,91.304347826087,9.52380952380952,8.69565217391304,"comm, data, expert","Data-based decision making","Ensure the application of evidence-based approaches to address public health issues"
"expert","Executive","SecJ","SecJ2","tech_skills","Moderately/Very Important","Unable to Perform/Beginner",2,21,91.304347826087,9.52380952380952,8.69565217391304,"comm, data, expert","Programmatic Expertise","Technical skills specific to my programmatic area"
"comm","Executive","SecA","SecA3","comm_persuade","Moderately/Very Important","Unable to Perform/Beginner",1,22,95.6521739130435,4.54545454545455,4.34782608695652,"comm, data, expert","Effective communication","Communicate in a way that persuades others to act"
"data","Executive","SecB","SecB2","app_use_sources","Moderately/Very Important","Unable to Perform/Beginner",1,22,95.6521739130435,4.54545454545455,4.34782608695652,"comm, data, expert","Data-based decision making","Ensure the use of appropriate sources of data and information to assess the health of a community"
"expert","Executive","SecJ","SecJ1","content_knowl","Moderately/Very Important","Unable to Perform/Beginner",1,22,95.6521739130435,4.54545454545455,4.34782608695652,"comm, data, expert","Programmatic Expertise","Content knowledge specific to my programmatic area"
"partners","Executive","SecH","SecH3","negotiate_assets","Moderately/Very Important","Unable to Perform/Beginner",1,20,86.9565217391304,5,4.34782608695652,"partners, engage","Cross-Sectional Partnerships","Negotiate with multiple partners for the use of assets and resources (e.g., Boys & Girls Clubs, public libraries, hospitals, faith-based organizations, academic institutions, federal grants, fellowship programs) to improve health in a community"
"partners","Executive","SecH","SecH6","Sech_6","Moderately/Very Important","Unable to Perform/Beginner",1,20,86.9565217391304,5,4.34782608695652,"partners, engage","Cross-Sectional Partnerships","Build collaborations within the public health system among traditional and non-traditional partners to improve the health of a community"
