"domain","supervisor_status","section","question_id","topic","imp_recat","skill_recat","skill_n","imp_n","imp_prop","skill_prop","priority_score","domain_cat","skill_cat","question_text"
"budget","Executive","SecD","SecD3","use_methods_agency","Moderately/Very Important","Unable to Perform/Beginner",5,21,91.304347826087,23.8095238095238,21.7391304347826,"budget, change, policy, systems","Budget & Financial Management","Use financial analysis methods in making decisions about programs and services across the agency"
"change","Executive","SecE","SecE6","assess_envir_factors_programs_agency","Moderately/Very Important","Unable to Perform/Beginner",5,21,91.304347826087,23.8095238095238,21.7391304347826,"budget, change, policy, systems","Change Management","Assess the drivers in your environment (e.g., physical, political, social, fiscal, etc.) that may influence public health programs and services across the agency"
"systems","Executive","SecF","SecF13","comm_staff_FPHS","Moderately/Very Important","Unable to Perform/Beginner",5,18,78.2608695652174,27.7777777777778,21.7391304347826,"budget, change, policy, systems","Systems & Strategic Thinking","Effectively communicates how staff work aligns with the Foundational Public Health Services (FPHS) and the broader public health system, and actively encourages staff to integrate and align their efforts with these foundational areas and capabilities."
"engage","Executive","SecG","SecG6","ensure_engage","Moderately/Very Important","Unable to Perform/Beginner",5,20,86.9565217391304,25,21.7391304347826,"partners, engage","Community Engagement","Ensure community member engagement in the design and implementation of programs to improve health in a community"
"engage","Executive","SecG","SecG9","advocate","Moderately/Very Important","Unable to Perform/Beginner",5,21,91.304347826087,23.8095238095238,21.7391304347826,"partners, engage","Community Engagement","Advocate for needed population health services and programs"
"change","Executive","SecE","SecE3","manage_org_change","Moderately/Very Important","Unable to Perform/Beginner",4,22,95.6521739130435,18.1818181818182,17.3913043478261,"budget, change, policy, systems","Change Management","Manage organizational change in response to evolving internal and external circumstances (e.g., social, political, economic, scientific)"
"justice","Executive","SecC","SecC3","develop_diversity","Moderately/Very Important","Unable to Perform/Beginner",4,21,91.304347826087,19.047619047619,17.3913043478261,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Develop a diverse public health workforce (e.g., diverse in terms of race, ethnicity, gender, age, sexual orientation)"
"systems","Executive","SecF","SecF14","expertise_statutes","Moderately/Very Important","Unable to Perform/Beginner",4,20,86.9565217391304,20,17.3913043478261,"budget, change, policy, systems","Systems & Strategic Thinking","Demonstrates the expertise and knowledge necessary to effectively interpret and apply public health statutes in interactions with governing bodies or boards of health, using clear communication strategies to inform decision-making, ensure statutory compliance, and build public trust."
"systems","Executive","SecF","SecF8","create_QI_culture_agency","Moderately/Very Important","Unable to Perform/Beginner",4,21,91.304347826087,19.047619047619,17.3913043478261,"budget, change, policy, systems","Systems & Strategic Thinking","Create a culture of quality improvement (e.g., an integrative process that links knowledge, structures, processes, and outcomes to enhance quality throughout an organization) at the agency or division level"
"engage","Executive","SecG","SecG3","ensure_collab","Moderately/Very Important","Unable to Perform/Beginner",3,20,86.9565217391304,15,13.0434782608696,"partners, engage","Community Engagement","Ensure health department representation in a collaborative process resulting in a community health assessment or community health improvement plan"
"comm","Executive","SecA","SecA2","comm_understand","Moderately/Very Important","Unable to Perform/Beginner",2,22,95.6521739130435,9.09090909090909,8.69565217391304,"comm, data, expert","Effective communication","Communicate in a way that different audiences (e.g., the public, community organizations, external partners, the scientific community, etc.) can understand"
"data","Executive","SecB","SecB4","use_decision","Moderately/Very Important","Unable to Perform/Beginner",2,22,95.6521739130435,9.09090909090909,8.69565217391304,"comm, data, expert","Data-based decision making","Use valid data to drive decision making"
"data","Executive","SecB","SecB7","ensure_app_EBA","Moderately/Very Important","Unable to Perform/Beginner",2,21,91.304347826087,9.52380952380952,8.69565217391304,"comm, data, expert","Data-based decision making","Ensure the application of evidence-based approaches to address public health issues"
"expert","Executive","SecJ","SecJ2","tech_skills","Moderately/Very Important","Unable to Perform/Beginner",2,21,91.304347826087,9.52380952380952,8.69565217391304,"comm, data, expert","Programmatic Expertise","Technical skills specific to my programmatic area"
"comm","Executive","SecA","SecA3","comm_persuade","Moderately/Very Important","Unable to Perform/Beginner",1,22,95.6521739130435,4.54545454545455,4.34782608695652,"comm, data, expert","Effective communication","Communicate in a way that persuades others to act"
"data","Executive","SecB","SecB2","app_use_sources","Moderately/Very Important","Unable to Perform/Beginner",1,22,95.6521739130435,4.54545454545455,4.34782608695652,"comm, data, expert","Data-based decision making","Ensure the use of appropriate sources of data and information to assess the health of a community"
"expert","Executive","SecJ","SecJ1","content_knowl","Moderately/Very Important","Unable to Perform/Beginner",1,22,95.6521739130435,4.54545454545455,4.34782608695652,"comm, data, expert","Programmatic Expertise","Content knowledge specific to my programmatic area"
"partners","Executive","SecH","SecH3","negotiate_assets","Moderately/Very Important","Unable to Perform/Beginner",1,20,86.9565217391304,5,4.34782608695652,"partners, engage","Cross-Sectional Partnerships","Negotiate with multiple partners for the use of assets and resources (e.g., Boys & Girls Clubs, public libraries, hospitals, faith-based organizations, academic institutions, federal grants, fellowship programs) to improve health in a community"
"partners","Executive","SecH","SecH6","Sech_6","Moderately/Very Important","Unable to Perform/Beginner",1,20,86.9565217391304,5,4.34782608695652,"partners, engage","Cross-Sectional Partnerships","Build collaborations within the public health system among traditional and non-traditional partners to improve the health of a community"
